variant_code,product_code,sku,unit_code,packaging_size,is_default,is_sell_default
P000036-V1,P000036,00017328,UNIT000001,Hộp 10 Cái,true,true
P000037-V1,P000037,00030851,UNIT000001,Hộp,true,true
P000038-V1,P000038,00048525,UNIT000001,Hộp 3 Cái,true,true
P000039-V1,P000039,00002661,UNIT000001,Hộp 12 Cái,true,true
P000040-V1,P000040,00051503,UNIT000001,Hộp 3 Cái,true,true
P000041-V1,P000041,00051504,UNIT000001,Hộp 3 Gói x 5ml,true,true
P000042-V1,P000042,00050853,UNIT000001,Hộp 5 Vỉ x 4 Viên,true,true
P000042-V2,P000042,00050853,UNIT000003,5 Vỉ x 4 Viên,true,false
P000043-V1,P000043,00046517,UNIT000004,Thùng 24 Chai x 290ml,true,false
P000043-V2,P000043,00046517,UNIT000002,24 Chai x 290ml,true,true
P000044-V1,P000044,00046516,UNIT000004,Thùng 24 Chai x 290ml,true,false
P000044-V2,P000044,00046516,UNIT000002,24 Chai x 290ml,true,true
P000045-V1,P000045,00046407,UNIT000001,Hộp 5 Gói x 25g,true,true
P000046-V1,P000046,00043051,UNIT000005,Lốc 6 Hũ x 70ml,true,true
P000047-V1,P000047,00043050,UNIT000005,Lốc 6 Chai x 185ml,true,true
P000048-V1,P000048,00038128,UNIT000001,Hộp 10 Gói x 8g,true,true
P000049-V1,P000049,00502988,UNIT000004,Thùng 24 Chai x 350ml,true,false
P000049-V2,P000049,00502988,UNIT000002,24 Chai x 350ml,true,true
P000050-V1,P000050,00502817,UNIT000001,Hộp 20 Gói x 2g,true,true
P000051-V1,P000051,00502536,UNIT000002,Chai x 250g,true,true
P000052-V1,P000052,00502533,UNIT000002,Chai x 730g,true,true
P000053-V1,P000053,00502499,UNIT000004,Thùng 24 Chai x 250ml,true,false
P000053-V2,P000053,00502499,UNIT000002,24 Chai x 250ml,true,true
P000054-V1,P000054,00502498,UNIT000004,Thùng 24 Chai x 250ml,true,false
P000054-V2,P000054,00502498,UNIT000002,24 Chai x 250ml,true,true
P000055-V1,P000055,00502497,UNIT000004,Thùng 24 Chai x 250ml,true,false
P000055-V2,P000055,00502497,UNIT000002,24 Chai x 250ml,true,true
P000056-V1,P000056,00501564,UNIT000001,Hộp 10 Ống x 10ml,true,true
P000057-V1,P000057,00500698,UNIT000001,Hộp 4 Hũ x 72g,true,true
P000058-V1,P000058,00500065,UNIT000001,Hộp 10 Vỉ x 4 Viên,true,true
P000058-V2,P000058,00500065,UNIT000003,10 Vỉ x 4 Viên,true,false
P000059-V1,P000059,00033695,UNIT000001,Hộp 10 Gói x 8g,true,true
P000060-V1,P000060,00033621,UNIT000002,Chai x 130g,true,true
P000061-V1,P000061,00033432,UNIT000001,Hộp 3 Hộp lẻ x 5 Gói x 70ml,true,true
P000062-V1,P000062,00032931,UNIT000005,Lốc x 185ml,true,true
P000063-V1,P000063,00032930,UNIT000005,Lốc x 185ml,true,true
P000064-V1,P000064,00014100,UNIT000001,Hộp 5 Vỉ x 4 Viên x 2g,true,true
P000064-V2,P000064,00014100,UNIT000003,5 Vỉ x 4 Viên x 2g,true,false
P000065-V1,P000065,00002643,UNIT000001,Hộp 100 Gói x 1g,true,true
P000066-V1,P000066,00032207,UNIT000005,Lốc x 70ml,true,true
P000067-V1,P000067,00040886,UNIT000001,Hộp 20 Túi x 2g,true,true
P000068-V1,P000068,00039823,UNIT000001,Hộp 6 Hũ x 70ml,true,true
P000069-V1,P000069,00039816,UNIT000001,Hộp 15 Gói x 3g,true,true
P000070-V1,P000070,00038887,UNIT000001,Hộp 6 Hũ x 70ml,true,true
P000070-V2,P000070,00038887,UNIT000006,6 Hũ x 70ml,true,false
P000071-V1,P000071,00038885,UNIT000001,Hộp 6 Hũ x 70ml,true,true
P000072-V1,P000072,00502882,UNIT000001,Hộp 10 Chai x 120ml,true,true
P000072-V2,P000072,00502882,UNIT000002,10 Chai x 120ml,true,false
P000073-V1,P000073,00502818,UNIT000001,Hộp 20 Gói x 2g,true,true
P000074-V1,P000074,00029334,UNIT000001,Hộp 10 Chai x 100ml,true,true
P000075-V1,P000075,00050891,UNIT000001,Hộp 10 Chai x 100ml,true,true
P000076-V1,P000076,00049653,UNIT000006,Hũ x 710g,true,true
P000077-V1,P000077,00048193,UNIT000001,Hộp x 250g,true,true
P000078-V1,P000078,00048192,UNIT000001,Hộp x 250g,true,true
P000079-V1,P000079,00047425,UNIT000001,Hộp 15 Gói x 3g,true,true
P000080-V1,P000080,00047424,UNIT000001,Hộp 15 Gói x 3g,true,true
P000081-V1,P000081,00047423,UNIT000001,Hộp 15 Gói x 3g,true,true
P000082-V1,P000082,00045302,UNIT000001,Hộp 10 Chai x 45ml,true,true
P000083-V1,P000083,00043049,UNIT000005,Lốc 6 Chai x 185ml,true,true
P000084-V1,P000084,00041295,UNIT000001,Hộp 4 Hũ x 2g,true,true
P000085-V1,P000085,00041254,UNIT000001,Hộp 20 Túi x 2g,true,true
P000086-V1,P000086,00041253,UNIT000001,Hộp 20 Túi x 2g,true,true
P000087-V1,P000087,00040888,UNIT000001,Hộp 20 Túi x 2g,true,true
P000088-V1,P000088,00040887,UNIT000001,Hộp 20 Túi x 2g,true,true
P000089-V1,P000089,00039824,UNIT000001,Hộp 6 Hũ x 70ml,true,true
P000090-V1,P000090,00038884,UNIT000005,Lốc 4 Hũ x 70ml,true,true
P000090-V2,P000090,00038884,UNIT000006,4 Hũ x 70ml,true,false
P000091-V1,P000091,00038881,UNIT000005,Lốc 4 Hũ x 70ml,true,true
P000091-V2,P000091,00038881,UNIT000006,4 Hũ x 70ml,true,false
P000092-V1,P000092,00503504,UNIT000005,Lốc 6 Chai x 175ml,true,true
P000093-V1,P000093,00500697,UNIT000001,Hộp 4 Hũ x 72g,true,true
P000094-V1,P000094,00500696,UNIT000001,Hộp x 72g,true,true
P000095-V1,P000095,00500273,UNIT000001,Hộp 40 Gói x 2g,true,true
P000096-V1,P000096,00033431,UNIT000001,Hộp 3 Hộp lẻ x 10 Gói x 10g,true,true
P000097-V1,P000097,00002644,UNIT000001,Hộp,true,true
P000098-V1,P000098,00031149,UNIT000001,Hộp x 15g,true,true
P000099-V1,P000099,00031151,UNIT000001,Hộp x 3g,true,true
P000100-V1,P000100,00031148,UNIT000001,Hộp x 3g,true,true
P000101-V1,P000101,00031150,UNIT000001,Hộp x 3g,true,true
P000102-V1,P000102,00032206,UNIT000005,Lốc x 70ml,true,true
P000103-V1,P000103,00032752,UNIT000001,Hộp x 3g,true,true
P000104-V1,P000104,00051529,UNIT000001,Hộp 6 Lọ x 70ml,true,false
P000104-V2,P000104,00051529,UNIT000007,6 Lọ x 70ml,true,true
P000105-V1,P000105,00051054,UNIT000001,Hộp 20 Túi x 2.5g,true,true
P000106-V1,P000106,00041102,UNIT000005,Lốc 10 Chai x 30ml,true,false
P000106-V2,P000106,00041102,UNIT000002,10 Chai x 30ml,true,true
P000107-V1,P000107,00033624,UNIT000002,Chai x 120g,true,true
P000108-V1,P000108,00002637,UNIT000001,Hộp x 2g,true,true
P000109-V1,P000109,00002639,UNIT000001,Hộp 1200 Viên,true,true
P000110-V1,P000110,00002923,UNIT000001,Hộp 100 Viên,true,true
P000110-V2,P000110,00002923,UNIT000008,100 Viên,true,false
P000111-V1,P000111,00015165,UNIT000004,Thùng 24 Chai x 500ml,true,false
P000111-V2,P000111,00015165,UNIT000002,24 Chai x 500ml,true,true
P000112-V1,P000112,00021579,UNIT000009,Gói x 15g,true,true
P000113-V1,P000113,00022447,UNIT000001,Hộp 50 Gói x 1g,true,true
P000113-V2,P000113,00022447,UNIT000009,50 Gói x 1g,true,false
P000114-V1,P000114,00028280,UNIT000001,Hộp 12 Gói x 15g,true,true
P000114-V2,P000114,00028280,UNIT000009,12 Gói x 15g,true,false
P000115-V1,P000115,00028356,UNIT000009,Gói x 15g,true,true
P000116-V1,P000116,00029268,UNIT000001,Hộp x 40g,true,true
P000117-V1,P000117,00029761,UNIT000006,Hũ x 22g,true,true
P000118-V1,P000118,00029763,UNIT000006,Hũ x 22g,true,true
P000119-V1,P000119,00051525,UNIT000001,Hộp 20 Gói x 9.4g,true,false
P000119-V2,P000119,00051525,UNIT000009,20 Gói x 9.4g,true,true
P000120-V1,P000120,00051524,UNIT000001,Hộp 20 Gói x 9.4g,true,false
P000120-V2,P000120,00051524,UNIT000009,20 Gói x 9.4g,true,true
P000121-V1,P000121,00051521,UNIT000001,Hộp 20 Gói x 9.4g,true,false
P000121-V2,P000121,00051521,UNIT000009,20 Gói x 9.4g,true,true
P000122-V1,P000122,00051520,UNIT000001,Hộp x 400g,true,true
P000123-V1,P000123,00051519,UNIT000001,Hộp x 400g,true,true
P000124-V1,P000124,00039820,UNIT000001,Hộp 10 Chai x 100ml,true,true
P000125-V1,P000125,00007855,UNIT000001,Hộp 5 Vỉ x 4 Viên,true,true
P000125-V2,P000125,00007855,UNIT000003,5 Vỉ x 4 Viên,true,false
P000126-V1,P000126,00014558,UNIT000001,Hộp 5 Vỉ x 4 Viên,true,true
P000126-V2,P000126,00014558,UNIT000003,5 Vỉ x 4 Viên,true,false
P000127-V1,P000127,00029765,UNIT000006,Hũ x 22g,true,true
P000128-V1,P000128,00039476,UNIT000010,Bịch 100 Túi,true,true
P000129-V1,P000129,00503878,UNIT000005,Lốc 6 Chai x 185ml,true,true
P000130-V1,P000130,00502225,UNIT000001,Hộp x 45g,true,true
P000131-V1,P000131,00501143,UNIT000001,Hộp x 45g,true,true
P000132-V1,P000132,00501138,UNIT000001,Hộp x 45g,true,true
P000133-V1,P000133,00002649,UNIT000001,Hộp 100 Gói x 1g,true,true
P000133-V2,P000133,00002649,UNIT000009,100 Gói x 1g,true,false
P000134-V1,P000134,00009750,UNIT000001,Hộp 25 Gói x 1.5g,true,true
P000134-V2,P000134,00009750,UNIT000009,25 Gói x 1.5g,true,false
P000135-V1,P000135,00016499,UNIT000001,Hộp 30 Viên,true,true
P000135-V2,P000135,00016499,UNIT000008,30 Viên,true,false
P000136-V1,P000136,00009758,UNIT000001,Hộp 100 Viên,true,true
P000136-V2,P000136,00009758,UNIT000008,100 Viên,true,false
P000137-V1,P000137,00004097,UNIT000009,24 Gói x 25g,true,true
P000138-V1,P000138,00014597,UNIT000009,24 Gói x 25g,true,true
P000139-V1,P000139,00011163,UNIT000009,24 Gói x 25g,true,true
P000140-V1,P000140,00010643,UNIT000009,24 Gói x 25g,true,true
P000141-V1,P000141,00004099,UNIT000009,24 Gói x 25g,true,true
P000142-V1,P000142,00004098,UNIT000009,24 Gói x 25g,true,true
P000143-V1,P000143,00028872,UNIT000001,Hộp x 45g,true,true
P000144-V1,P000144,00028918,UNIT000009,24 Gói x 25g,true,true
P000145-V1,P000145,00503116,UNIT000011,Túi,true,true
P000146-V1,P000146,00503115,UNIT000001,Hộp,true,true
P000147-V1,P000147,00503114,UNIT000001,Hộp,true,true
P000148-V1,P000148,00503113,UNIT000001,Hộp,true,true
P000149-V1,P000149,00051706,UNIT000001,Hộp 7 Tuýp x 5ml,true,true
P000150-V1,P000150,00502804,UNIT000009,Gói 9 Miếng,true,true
P000151-V1,P000151,00033402,UNIT000009,Gói 20 Miếng,true,true
P000152-V1,P000152,00033398,UNIT000009,Gói 4 Miếng,true,true
P000153-V1,P000153,00033401,UNIT000009,Gói 8 Miếng,true,true
P000154-V1,P000154,00033403,UNIT000009,Gói 8 Miếng,true,true
P000155-V1,P000155,00033399,UNIT000009,Gói 10 Miếng,true,true
P000156-V1,P000156,00016689,UNIT000010,Bịch,true,true
P000157-V1,P000157,00016688,UNIT000010,Bịch,true,true
P000158-V1,P000158,00022051,UNIT000010,Bịch,true,true
P000159-V1,P000159,00029563,UNIT000011,Túi,true,true
P000160-V1,P000160,00029564,UNIT000011,Túi,true,true
P000161-V1,P000161,00029568,UNIT000011,Túi,true,true
P000162-V1,P000162,00029569,UNIT000011,Túi,true,true
P000163-V1,P000163,00029570,UNIT000011,Túi,true,true
P000164-V1,P000164,00010542,UNIT000001,Hộp,true,true
P000165-V1,P000165,00028487,UNIT000009,Gói,true,true
P000166-V1,P000166,00029567,UNIT000001,Hộp,true,true
P000167-V1,P000167,00050875,UNIT000001,Hộp 2 Miếng,true,true
P000168-V1,P000168,00050874,UNIT000009,Gói 2 Cái,true,true
P000169-V1,P000169,00050873,UNIT000009,Gói 12 Miếng,true,true
P000170-V1,P000170,00033400,UNIT000009,Gói 8 Miếng,true,true
P000171-V1,P000171,00014050,UNIT000001,Hộp,true,true
P000172-V1,P000172,00029565,UNIT000001,Hộp,true,true
P000173-V1,P000173,00029571,UNIT000001,Hộp,true,true
P000174-V1,P000174,00029572,UNIT000001,Hộp,true,true
P000175-V1,P000175,00031048,UNIT000009,Gói,true,true
P000176-V1,P000176,00031053,UNIT000009,Gói,true,true
P000177-V1,P000177,00031054,UNIT000009,Gói,true,true
P000178-V1,P000178,00031052,UNIT000009,Gói,true,true
P000179-V1,P000179,00031047,UNIT000009,Gói,true,true
P000180-V1,P000180,00031599,UNIT000011,Túi,true,true
P000181-V1,P000181,00051097,UNIT000002,Chai x 500ml,true,true
P000182-V1,P000182,00051556,UNIT000001,Hộp 16 Miếng,true,true
P000183-V1,P000183,00051554,UNIT000009,Gói 20 Miếng,true,true
P000184-V1,P000184,00051552,UNIT000009,Gói 9 Miếng,true,true
P000185-V1,P000185,00051551,UNIT000009,Gói 20 Miếng,true,true
P000186-V1,P000186,00051550,UNIT000009,Gói 7 Miếng,true,true
P000187-V1,P000187,00051549,UNIT000009,Gói 20 Miếng,true,true
P000188-V1,P000188,00051548,UNIT000009,Gói 2 Miếng,true,true
P000189-V1,P000189,00051547,UNIT000009,Gói 2 Miếng,true,true
P000190-V1,P000190,00046935,UNIT000002,Chai x 250ml,true,true
P000191-V1,P000191,00046934,UNIT000002,Chai x 750ml,true,true
P000192-V1,P000192,00032238,UNIT000002,Chai x 680ml,true,true
P000193-V1,P000193,00050890,UNIT000001,Hộp x 30g,true,true
P000194-V1,P000194,00050889,UNIT000001,Hộp x 30g,true,true
P000195-V1,P000195,00050887,UNIT000001,Hộp x 70g,true,true
P000196-V1,P000196,00050886,UNIT000001,Hộp x 70g,true,true
P000197-V1,P000197,00050877,UNIT000001,Hộp x 110g,true,true
P000198-V1,P000198,00044159,UNIT000001,Hộp,true,true
P000199-V1,P000199,00503165,UNIT000001,Hộp,true,true
P000200-V1,P000200,00500018,UNIT000001,Hộp,true,true
P000201-V1,P000201,00051073,UNIT000012,Tuýp x 120g,true,true
P000202-V1,P000202,00044164,UNIT000001,Hộp,true,true
P000203-V1,P000203,00044163,UNIT000001,Hộp,true,true
P000204-V1,P000204,00044158,UNIT000001,Hộp,true,true
P000205-V1,P000205,00503164,UNIT000001,Hộp,true,true
P000206-V1,P000206,00045793,UNIT000002,Chai x 250ml,true,true
P000207-V1,P000207,00038417,UNIT000002,Chai x 1000ml,true,true
P000208-V1,P000208,00502621,UNIT000002,Chai x 1100ml,true,true
P000209-V1,P000209,00500817,UNIT000002,Chai x 500ml,true,true
P000210-V1,P000210,00010507,UNIT000012,Tuýp x 100g,true,true
P000211-V1,P000211,00016150,UNIT000009,Gói,true,true
P000212-V1,P000212,00015306,UNIT000012,Tuýp x 100g,true,true
P000213-V1,P000213,00010345,UNIT000001,Hộp 70 Cái,true,true
P000214-V1,P000214,00009625,UNIT000002,Chai x 750ml,true,true
P000215-V1,P000215,00006641,UNIT000012,Tuýp x 100g,true,true
P000216-V1,P000216,00004483,UNIT000002,Chai x 250ml,true,true
P000217-V1,P000217,00018122,UNIT000002,Chai x 500ml,true,true
P000218-V1,P000218,00020776,UNIT000002,Chai x 500ml,true,true
P000219-V1,P000219,00028459,UNIT000009,Gói,true,true
P000220-V1,P000220,00051067,UNIT000002,Chai x 6ml,true,true
P000221-V1,P000221,00010399,UNIT000012,Tuýp x 100g,true,true
P000222-V1,P000222,00018173,UNIT000012,Tuýp x 150g,true,true
P000223-V1,P000223,00032637,UNIT000009,Gói,true,true
P000224-V1,P000224,00050876,UNIT000001,Hộp x 100g,true,true
P000225-V1,P000225,00016138,UNIT000002,Chai x 250ml,true,true
P000226-V1,P000226,00015332,UNIT000002,Chai x 250ml,true,true
P000227-V1,P000227,00015193,UNIT000002,Chai x 12ml,true,true
P000228-V1,P000228,00010398,UNIT000012,Tuýp x 100g,true,true
P000229-V1,P000229,00009626,UNIT000002,Chai x 750ml,true,true
P000230-V1,P000230,00005585,UNIT000001,Hộp 6 Cuộn,true,false
P000230-V2,P000230,00005585,UNIT000013,6 Cuộn,true,true
P000231-V1,P000231,00020772,UNIT000002,Chai x 100ml,true,true
P000232-V1,P000232,00028378,UNIT000010,Bịch 12 Vỉ,true,false
P000232-V2,P000232,00028378,UNIT000003,12 Vỉ,true,true
P000233-V1,P000233,00051099,UNIT000002,Chai x 250ml,true,true
P000234-V1,P000234,00051096,UNIT000002,Chai x 250ml,true,true
P000235-V1,P000235,00051095,UNIT000002,Chai x 750ml,true,true
P000236-V1,P000236,00050899,UNIT000002,Chai x 7.7ml,true,true
P000237-V1,P000237,00501356,UNIT000001,Hộp,true,true
P000238-V1,P000238,00501362,UNIT000001,Hộp 2 Cái,true,true
P000239-V1,P000239,00501361,UNIT000001,Hộp 2 Cái,true,true
P000240-V1,P000240,00501355,UNIT000001,Hộp,true,true
P000241-V1,P000241,00004491,UNIT000002,Chai x 750ml,true,true
P000242-V1,P000242,00040432,UNIT000001,Hộp x 20g,true,true
P000243-V1,P000243,00032124,UNIT000002,Chai x 200ml,true,true
P000244-V1,P000244,00032125,UNIT000002,Chai x 500ml,true,true
P000245-V1,P000245,00039827,UNIT000002,Chai x 150ml,true,true
P000246-V1,P000246,00038997,UNIT000002,Chai x 70ml,true,true
P000247-V1,P000247,00038996,UNIT000002,Chai x 70ml,true,true
P000248-V1,P000248,00011174,UNIT000002,Chai x 60ml,true,true
P000249-V1,P000249,00009627,UNIT000002,Chai x 60ml,true,true
P000250-V1,P000250,00006326,UNIT000002,Chai x 150ml,true,true
P000251-V1,P000251,00041971,UNIT000012,Tuýp x 50g,true,true
P000252-V1,P000252,00044227,UNIT000001,Hộp x 50ml,true,true
P000253-V1,P000253,00039826,UNIT000012,Tuýp x 70g,true,true
P000254-V1,P000254,00033251,UNIT000001,Hộp x 30ml,true,true
P000255-V1,P000255,00009541,UNIT000002,Chai x 30ml,true,true
P000256-V1,P000256,00009539,UNIT000002,Chai x 80ml,true,true
P000257-V1,P000257,00009538,UNIT000002,Chai x 80ml,true,true
P000258-V1,P000258,00003477,UNIT000002,Chai x 200g,true,true
P000259-V1,P000259,00028945,UNIT000002,Chai x 70g,true,true
P000260-V1,P000260,00003467,UNIT000002,Chai x 125ml,true,true
P000261-V1,P000261,00016257,UNIT000002,Chai x 125ml,true,true
P000262-V1,P000262,00014771,UNIT000002,Chai x 125ml,true,true
P000263-V1,P000263,00022532,UNIT000001,Hộp,true,true
P000264-V1,P000264,00051063,UNIT000010,Bịch 6 Gói,true,true
P000265-V1,P000265,00022034,UNIT000009,Gói,true,true
P000266-V1,P000266,00022435,UNIT000009,Gói,true,true
P000267-V1,P000267,00028301,UNIT000009,Gói,true,true
P000268-V1,P000268,00029581,UNIT000001,Hộp,true,true
P000269-V1,P000269,00030744,UNIT000001,Hộp,true,true
P000270-V1,P000270,00030815,UNIT000009,Gói,true,true
P000271-V1,P000271,00030812,UNIT000009,Gói,true,true
P000272-V1,P000272,00030813,UNIT000009,Gói,true,true
P000273-V1,P000273,00500287,UNIT000002,Chai x 100ml,true,true
P000274-V1,P000274,00033612,UNIT000002,Chai x 30ml,true,true
P000275-V1,P000275,00032927,UNIT000002,Chai x 500ml,true,true
P000276-V1,P000276,00003474,UNIT000002,Chai x 200ml,true,true
P000277-V1,P000277,00003475,UNIT000002,Chai x 50ml,true,true
P000278-V1,P000278,00048073,UNIT000001,Hộp x 50ml,true,true
P000279-V1,P000279,00048071,UNIT000001,Hộp x 50ml,true,true
P000280-V1,P000280,00047285,UNIT000001,Hộp x 50g,true,true
P000281-V1,P000281,00028351,UNIT000012,Tuýp x 50g,true,true
P000282-V1,P000282,00028445,UNIT000009,Gói,true,true
P000283-V1,P000283,00028446,UNIT000009,Gói,true,true
P000284-V1,P000284,00048409,UNIT000001,Hộp x 30ml,true,true
P000285-V1,P000285,00045724,UNIT000012,Tuýp x 200ml,true,true
P000286-V1,P000286,00044805,UNIT000012,Tuýp x 150ml,true,true
P000287-V1,P000287,00044797,UNIT000002,Chai x 500ml,true,true
P000288-V1,P000288,00044796,UNIT000002,Chai x 500ml,true,true
P000289-V1,P000289,00044547,UNIT000012,Tuýp x 180g,true,true
P000290-V1,P000290,00503325,UNIT000012,Tuýp x 130g,true,true
P000291-V1,P000291,00503324,UNIT000012,Tuýp x 130g,true,true
P000292-V1,P000292,00503293,UNIT000001,Hộp x 15ml,true,true
P000293-V1,P000293,00502934,UNIT000001,Hộp x 35g,true,true
P000294-V1,P000294,00502441,UNIT000002,Chai x 500ml,true,true
P000295-V1,P000295,00500347,UNIT000012,Tuýp x 50g,true,true
P000296-V1,P000296,00013533,UNIT000001,Hộp x 30g,true,true
P000297-V1,P000297,00029867,UNIT000012,Tuýp x 55ml,true,true
P000298-V1,P000298,00049302,UNIT000001,Hộp x 60g,true,true
P000299-V1,P000299,00049300,UNIT000001,Hộp x 75g,true,true
P000300-V1,P000300,00048435,UNIT000012,Tuýp x 75g,true,true
P000301-V1,P000301,00044792,UNIT000014,Cái x 35ml,true,true
P000302-V1,P000302,00044791,UNIT000014,Cái x 30ml,true,true
P000303-V1,P000303,00043046,UNIT000001,Hộp x 50g,true,true
P000304-V1,P000304,00503437,UNIT000002,Chai x 140ml,true,true
P000305-V1,P000305,00502933,UNIT000001,Hộp x 30g,true,true
P000306-V1,P000306,00050753,UNIT000002,Chai x 310ml,true,true
P000307-V1,P000307,00050594,UNIT000001,Hộp x 30g,true,true
P000308-V1,P000308,00050543,UNIT000001,Hộp x 110g,true,true
P000309-V1,P000309,00049709,UNIT000001,Hộp x 150ml,true,true
P000310-V1,P000310,00048967,UNIT000012,Tuýp x 200ml,true,true
P000311-V1,P000311,00048966,UNIT000002,Chai x 400ml,true,true
P000312-V1,P000312,00048415,UNIT000001,Hộp 10 Miếng x 25ml,true,true
P000312-V2,P000312,00048415,UNIT000015,10 Miếng x 25ml,true,false
P000313-V1,P000313,00048414,UNIT000001,Hộp 10 Miếng x 25ml,true,true
P000313-V2,P000313,00048414,UNIT000015,10 Miếng x 25ml,true,false
P000314-V1,P000314,00048413,UNIT000001,Hộp 10 Miếng x 25ml,true,true
P000314-V2,P000314,00048413,UNIT000015,10 Miếng x 25ml,true,false
P000315-V1,P000315,00048412,UNIT000001,Hộp 10 Miếng x 25ml,true,true
P000315-V2,P000315,00048412,UNIT000015,10 Miếng x 25ml,true,false
P000316-V1,P000316,00048411,UNIT000001,Hộp 10 Miếng x 25ml,true,true
P000316-V2,P000316,00048411,UNIT000015,10 Miếng x 25ml,true,false
P000317-V1,P000317,00048410,UNIT000001,Hộp x 30ml,true,true
P000318-V1,P000318,00048408,UNIT000001,Hộp x 30ml,true,true
P000319-V1,P000319,00044795,UNIT000014,Cái x 30ml,true,true
P000320-V1,P000320,00044758,UNIT000001,Hộp x 10g,true,true
P000321-V1,P000321,00042104,UNIT000001,Hộp x 15ml,true,true
P000322-V1,P000322,C052300000460,UNIT000001,Hộp 10 Gói x 30g,true,false
P000322-V2,P000322,C052300000460,UNIT000009,10 Gói x 30g,true,true
P000323-V1,P000323,C052300000458,UNIT000001,Hộp 10 Gói x 30g,true,false
P000323-V2,P000323,C052300000458,UNIT000009,10 Gói x 30g,true,true
P000324-V1,P000324,C052300000457,UNIT000001,Hộp 10 Gói x 30g,true,false
P000324-V2,P000324,C052300000457,UNIT000009,10 Gói x 30g,true,true
P000325-V1,P000325,C052300000456,UNIT000001,Hộp 10 Gói x 30g,true,false
P000325-V2,P000325,C052300000456,UNIT000009,10 Gói x 30g,true,true
P000326-V1,P000326,C052300000453,UNIT000001,Hộp 10 Gói x 30g,true,false
P000326-V2,P000326,C052300000453,UNIT000009,10 Gói x 30g,true,true
P000327-V1,P000327,00503918,UNIT000001,Hộp x 50ml,true,true
P000328-V1,P000328,00503585,UNIT000001,Hộp x 100g,true,true
P000329-V1,P000329,00014288,UNIT000012,Tuýp x 60g,true,true
P000330-V1,P000330,00016490,UNIT000001,Hộp x 60g,true,true
P000331-V1,P000331,00022006,UNIT000002,Chai x 120g,true,true
P000332-V1,P000332,00022007,UNIT000002,Chai x 120g,true,true
P000333-V1,P000333,00051127,UNIT000012,Tuýp x 30g,true,true
P000334-V1,P000334,00051124,UNIT000012,Tuýp x 30g,true,true
P000335-V1,P000335,00051103,UNIT000001,Hộp x 100ml,true,true
P000336-V1,P000336,00044794,UNIT000014,Cái x 30ml,true,true
P000337-V1,P000337,00042951,UNIT000001,Hộp x 30ml,true,true
P000338-V1,P000338,C052300000452,UNIT000001,Hộp 10 Gói x 30g,true,false
P000338-V2,P000338,C052300000452,UNIT000009,10 Gói x 30g,true,true
P000339-V1,P000339,C042300000094,UNIT000002,Chai x 230ml,true,true
