ingredient_code,ingredient_name,ingredient_slug,description
ING000080,Calcium (Ca+),calcium-ca,
ING000081,Cao đặc Actisô,cao-dac-actiso,0.04g
ING000082,Bột cỏ ngọt,bot-co-ngot,0.31g
ING000083,Bột Actisô,bot-actiso,1.65g
ING000084,Mật ong,mat-ong,27%
ING000085,Sữa ong chúa,sua-ong-chua,3%
ING000086,Nghệ,nghe,70%
ING000087,Mật ong nguyên chất,mat-ong-nguyen-chat,100%
ING000088,Vitamin B3,vitamin-b3,2.5mg
ING000089,Vitamin B6,vitamin-b6,1mg
ING000090,Sucralose,sucralose,
ING000091,Axit citric,axit-citric,
ING000092,Natri citrat,natri-citrat,
ING000093,Hương dâu tổng hợp,huong-dau-tong-hop,
ING000094,Hương chanh,huong-chanh,
ING000095,Acid citric,acid-citric,
ING000096,Hương cam,huong-cam,
ING000097,Sợi yến,soi-yen,20%
ING000098,Chất làm dày,chat-lam-day,
ING000099,Taurine,taurine,
ING000100,Hương vani giống tự nhiên,huong-vani-giong-tu-nhien,
ING000101,Prebiotics,prebiotics,
ING000102,Chiết xuất cao khô lá thường xuân,chiet-xuat-cao-kho-la-thuong-xuan,5mg
ING000103,Elderberry,elderberry,5mg
ING000104,Tinh dầu bạc hà,tinh-dau-bac-ha,4mg
ING000105,Tinh dầu tần,tinh-dau-tan,1mg
ING000106,Tinh dầu gừng,tinh-dau-gung,0.5mg
ING000107,Tinh dầu quế,tinh-dau-que,0.5mg
ING000108,Tinh dầu tắc,tinh-dau-tac,4mg
ING000109,Râu bắp,rau-bap,
ING000110,Atisô,atiso,
ING000111,Hoa Cúc Trường Sinh,hoa-cuc-truong-sinh,
ING000112,Bạch mao căn,bach-mao-can,
ING000113,màu caramel,mau-caramel,
ING000114,Hồng sâm,hong-sam,0.3%
ING000115,Nhung hươu,nhung-huou,0.003%
ING000116,Táo đỏ,tao-do,1.6%
ING000117,Câu kỷ tử,cau-ky-tu,0.12%
ING000118,Nước cất,nuoc-cat,79.427%
ING000119,Fructooligosaccharides,fructooligosaccharides,7.8%
ING000120,Quế,que,0.12%
ING000121,Gừng,gung,0.05%
ING000122,Linh chi,linh-chi,0.01%
ING000123,Hương yến giống tự nhiên,huong-yen-giong-tu-nhien,
ING000124,Yến Sào ngâm nở,yen-sao-ngam-no,50mg
ING000125,Đường,duong,
ING000126,Trùng thảo,trung-thao,1000mg
ING000127,Cao lá thường xuân,cao-la-thuong-xuan,9mg
ING000128,Tinh dầu chanh,tinh-dau-chanh,1mg
ING000129,Tinh dầu tràm gió,tinh-dau-tram-gio,0.5mg
ING000130,Tinh dầu húng chanh,tinh-dau-hung-chanh,0.2mg
ING000131,Lactose,lactose,96.1%
ING000132,Aspartame,aspartame,3.6%
ING000133,Silicon dioxide,silicon-dioxide,0.3%
ING000134,Yến sào,yen-sao,
ING000135,Chondroitin,chondroitin,
ING000136,Cỏ ngọt,co-ngot,
ING000137,Cao Tâm Sen,cao-tam-sen,
ING000138,Canxi lactate,canxi-lactate,
ING000139,Diếp cá,diep-ca,100%
ING000140,Beta Glucan,beta-glucan,42.8mg
ING000141,Lysine,lysine,85.7mg
ING000142,Vitamin D3,vitamin-d3,7mcg
ING000143,Chuối,chuoi,
ING000144,Hương chuối tổng hợp,huong-chuoi-tong-hop,
ING000145,Chất xơ hòa tan,chat-xo-hoa-tan,
ING000146,Bột cam,bot-cam,
ING000147,Natri Alginat,natri-alginat,
ING000148,Carrageenan,carrageenan,
ING000149,Konjac,konjac,
ING000150,Natri cacboxymethyl cellulose,natri-cacboxymethyl-cellulose,
ING000151,Gellan guml,gellan-guml,
ING000152,Củ nhân sâm,cu-nhan-sam,3.5%
ING000153,Chất điều chỉnh độ acid,chat-dieu-chinh-do-acid,0.25%
ING000154,Acid malic,acid-malic,0.03%
ING000155,Hương thảo mộc,huong-thao-moc,0.05%
ING000156,Niacinamide,niacinamide,0.003%
ING000157,Vitamin B1,vitamin-b1,0.002%
ING000158,Trisodium-citrate,trisodium-citrate,0.05%
ING000159,Sả,sa,0.64g
ING000160,Chiết xuất hồng sâm,chiet-xuat-hong-sam,0.3%
ING000161,Chiết xuất quế,chiet-xuat-que,0.12%
ING000162,Đường hóa lỏng,duong-hoa-long, 
ING000163,Fructo-oligosaccharide,fructo-oligosaccharide, 
ING000164,chiết xuất táo tàu,chiet-xuat-tao-tau, 
ING000165,chiết xuất nho tàu,chiet-xuat-nho-tau, 
ING000166,hương vị thực phẩm (hỗn hợp thảo dược và nhân sâm),huong-vi-thuc-pham-hon-hop-thao-duoc-va-nhan-sam, 
ING000167,chiết xuất gừng khô,chiet-xuat-gung-kho, 
ING000168,chiết xuất nấm linh chi,chiet-xuat-nam-linh-chi, 
ING000169,chiết xuất gạc huơu,chiet-xuat-gac-huou, 
ING000170,Bột chiết xuất Đông trùng hạ thảo,bot-chiet-xuat-dong-trung-ha-thao,500mg
ING000171,Chất tạo màu tự nhiên,chat-tao-mau-tu-nhien,250mg
ING000172,Hương lựu,huong-luu,250mg
ING000173,Nấm linh chi,nam-linh-chi,100mg
ING000174,Cam thảo,cam-thao,100mg
ING000175,Táo Tàu,tao-tau,100mg
ING000176,Cây xà sàng,cay-xa-sang,100mg
ING000177,Nước ép quả lê Hàn Quốc,nuoc-ep-qua-le-han-quoc,100mg
ING000178,Rễ Đương Quy,re-duong-quy,50mg
ING000179,tinh chất hồng sâm cô đặc,tinh-chat-hong-sam-co-dac,10mg
ING000180,Giấm táo,giam-tao,
ING000181,Curcumin,curcumin,4%
ING000182,Piperine,piperine,0.03%
ING000183,Bột Đậu Đen,bot-dau-den,1.8g
ING000184,Bột Cỏ Mực,bot-co-muc,1.2g
ING000185,Bột tía tô,bot-tia-to,
ING000186,Bột Củ Dền,bot-cu-den,
ING000187,Collagen thủy phân siêu phân tử từ cá,collagen-thuy-phan-sieu-phan-tu-tu-ca,10000mg
ING000188,Nước ép cô đặc từ quả anh đào Tart Montmorency,nuoc-ep-co-dac-tu-qua-anh-dao-tart-montmorency,500mg
ING000189,Nước ép cô đặc từ quả đào,nuoc-ep-co-dac-tu-qua-dao,2000mg
ING000190,Nước ép cô đặc từ 7 loại quá Berry,nuoc-ep-co-dac-tu-7-loai-qua-berry,1000mg
ING000191,Yến sào chưng sẵn đường ăn kiêng,yen-sao-chung-san-duong-an-kieng,
ING000192,Maltitol,maltitol,
ING000193,axit hyaluronic,axit-hyaluronic,
ING000194,Đường phèn vàng,duong-phen-vang,
ING000195,Đường hữu cơ,duong-huu-co,1.6%
ING000196,Nhân sâm lát,nhan-sam-lat,0.22%
ING000197,Chiết xuất nhân sâm,chiet-xuat-nhan-sam,0.15%
ING000198,Hương liệu Nhân Sâm nhân tạo,huong-lieu-nhan-sam-nhan-tao,
ING000199,Màu tự nhiên caramel 150d,mau-tu-nhien-caramel-150d,
ING000200,Giảo cổ lam,giao-co-lam,1.05g
ING000201,Dây thìa canh,day-thia-canh,0.8g
ING000202,Tía Tô,tia-to,1.3g
ING000203,Thảo quyết minh,thao-quyet-minh,
ING000204,Đế nấm đông trùng hạ thảo,de-nam-dong-trung-ha-thao,
ING000205,Lạc tiên,lac-tien,
ING000206,Bình vôi,binh-voi,
ING000207,Tâm sen,tam-sen,
ING000208,yến sào chưng sẵn không đường,yen-sao-chung-san-khong-duong,15%
ING000209,collagen II thủy phân,collagen-ii-thuy-phan,
ING000210,Nhân Sâm,nhan-sam,
ING000211,Đường sucrose,duong-sucrose,
ING000212,Dâu tây,dau-tay,
ING000213,Betaglucan,betaglucan,42.8mg
ING000214,Hạt bồ mễ,hat-bo-me,
ING000215,Nấm tuyết,nam-tuyet,
ING000216,Hạt sen,hat-sen,
ING000217,Kỷ tử,ky-tu,
ING000218,Long nhãn,long-nhan,
ING000219,Nhựa đào,nhua-dao,
ING000220,Sợi Trùng Thảo militaris ngâm nở,soi-trung-thao-militaris-ngam-no,1000mg
ING000221,Tuyết Yến,tuyet-yen,
ING000222,Hương tự nhiên,huong-tu-nhien,
ING000223,Steviol glicosides,steviol-glicosides,0.83%
ING000224,Bạch chỉ,bach-chi,
ING000225,Hoàng kỳ,hoang-ky,
ING000226,Mẫu đơn bì (Vỏ rễ),mau-don-bi-vo-re,
ING000227,Địa hoàng,dia-hoang,
ING000228,Phục Linh,phuc-linh,
ING000229,Siro glucose,siro-glucose,
ING000230,Đậu xanh,dau-xanh, 
ING000231,Cần tây,can-tay,
ING000232,Tảo xanh,tao-xanh,
ING000233,Chất tạo màu Caramel,chat-tao-mau-caramel,
ING000234,Nước cốt gà,nuoc-cot-ga,99.7%
ING000235,Vitamin B12,vitamin-b12,0.52mcg
ING000236,Trà xanh,tra-xanh,500mg
ING000237,Gừng tươi,gung-tuoi,300mg
ING000238,vỏ quýt,vo-quyt,200mg
ING000239,Đinh lăng,dinh-lang,200mg
ING000240,Chất tạo ngọt tổng hợp,chat-tao-ngot-tong-hop,
ING000241,Kali sorbat,kali-sorbat,
ING000242,Hương liệu tổng hợp dành cho thực phẩm,huong-lieu-tong-hop-danh-cho-thuc-pham,
ING000243,Đường Sorbitol,duong-sorbitol,
ING000244,Acesulfame potassium,acesulfame-potassium,
ING000245,Chromium picolinate,chromium-picolinate,
ING000246,Bột bắp,bot-bap,
ING000247,Sodium cyclamate,sodium-cyclamate,
ING000248,Natri saccharin,natri-saccharin,
ING000249,Natri hydro carbonat,natri-hydro-carbonat,
ING000250,Maltodextrin,maltodextrin,
ING000251,Tinh dầu khuynh diệp,tinh-dau-khuynh-diep,0.6mg
ING000252,Tá dược vừa đủ,ta-duoc-vua-du, 
ING000253,Calcium lactate,calcium-lactate,
ING000254,Malic Acid,malic-acid,
ING000255,Magie cacbonat,magie-cacbonat,
ING000256,Glucono-delta-lactone,glucono-delta-lactone,
ING000257,Beta carotene,beta-carotene,
ING000258,Extract Of Lemon Balm,extract-of-lemon-balm,
ING000259,Ricola'S Herb Mixture,ricolas-herb-mixture,
ING000260,Natural Flavors,natural-flavors,
ING000261,Aspartam,aspartam,35mg
ING000262,Chất làm dày (E1201),chat-lam-day-e1201,
ING000263,Chất chống đông vón (E551 ),chat-chong-dong-von-e551,
ING000264,Bạc hà,bac-ha,
ING000265,Chanh,chanh,
ING000266,Muối Himalaya,muoi-himalaya,
ING000267,Chất tạo màu tổng hợp,chat-tao-mau-tong-hop, 
ING000268,Chiết xuất hỗn hợp thảo mộc Ricola,chiet-xuat-hon-hop-thao-moc-ricola,
ING000269,Chiết xuất tinh dầu chanh,chiet-xuat-tinh-dau-chanh,
ING000270,chất chống đóng vón,chat-chong-dong-von,
ING000271,Hương nhân tạo,huong-nhan-tao,
ING000272,Hương hoa anh đào,huong-hoa-anh-dao,
ING000273,Sorbitol,sorbitol,89.08%
ING000274,Chất chống đông vón,chat-chong-dong-von,
ING000275,Coenzym Q10,coenzym-q10,0.21%
ING000276,Lutein,lutein,1.08%
ING000277,Phẩm màu INS 124,pham-mau-ins-124,
ING000278,Chiết xuất từ quả Việt quất,chiet-xuat-tu-qua-viet-quat,0.21%
ING000279,Chất nhũ hoá,chat-nhu-hoa,
ING000280,Nhân sâm 6 tuổi,nhan-sam-6-tuoi,25%
ING000281,Saffron,saffron,0.5%
ING000282,Đông trùng hạ thảo (Hàn Quốc),dong-trung-ha-thao-han-quoc,0.25%
ING000283,Linh chi (Trung Quốc),linh-chi-trung-quoc,
ING000284,Đương quy,duong-quy,
ING000285,Sinh Địa,sinh-dia,
ING000286,Xà sàng,xa-sang,
ING000287,đường fructose,duong-fructose,13%
ING000288,táo đỏ cô đặc,tao-do-co-dac,0.1%
ING000289,Sodium benzoate,sodium-benzoate,0.055%
ING000290,Đường Stevia,duong-stevia,0.04%
ING000291,Glycine,glycine,0.03%
ING000292,Sodium Citrate,sodium-citrate,0.02%
ING000293,Vitamin B2,vitamin-b2,0.002%
ING000294,Methol,methol,8mg
ING000295,Cao gừng,cao-gung,100mg
ING000296,Hương bạc hà nhân tạo,huong-bac-ha-nhan-tao,
ING000297,màu Brilliant blue FCF nhân tạo,mau-brilliant-blue-fcf-nhan-tao,
ING000298,Bột Collagen,bot-collagen,500mg
ING000299,Hương liệu yến nhân tạo,huong-lieu-yen-nhan-tao,
ING000300,Hương liệu,huong-lieu,
ING000301,chiết xuất trà trắng,chiet-xuat-tra-trang,
ING000302,Nước ép trái cây cô đặc,nuoc-ep-trai-cay-co-dac,
ING000303,Paprika,paprika,
ING000304,Chiết xuất Aronia,chiet-xuat-aronia,
ING000305,Scacharin,scacharin,3.6%
ING000306,Dextrose,dextrose,94.5%
ING000307,Calcium,calcium,0.5%
ING000308,Cream of tartar,cream-of-tartar,0.5 
ING000309,Chiết xuất cây thìa canh,chiet-xuat-cay-thia-canh,0.975 
ING000310,Mướp đắng,muop-dang,0.375g
ING000311,tinh dầu hỗn hợp,tinh-dau-hon-hop,
ING000312,Eucalyptol,eucalyptol,
ING000313,Diệp Lục,diep-luc,
ING000314,Mạch Nha,mach-nha, 
ING000315,Chất tạo ngọt tổng hợp E955,chat-tao-ngot-tong-hop-e955,
ING000316,hương bạc hà tự nhiên,huong-bac-ha-tu-nhien, 
ING000317,Chất tạo ngọt tổng hợp E420(i),chat-tao-ngot-tong-hop-e420i, 
ING000318,Chất tạo ngọt tổng hợp E950,chat-tao-ngot-tong-hop-e950,
ING000319,Hương Menthol,huong-menthol,
ING000320,Hương cam chanh tự nhiên,huong-cam-chanh-tu-nhien,
ING000321,Dịch chiết quả ớt,dich-chiet-qua-ot,
ING000322,Chất làm dày E413,chat-lam-day-e413,
ING000323,Chất làm dày E1400,chat-lam-day-e1400,
ING000324,Hương lục bạc hà tự nhiên,huong-luc-bac-ha-tu-nhien,
ING000325,Hương cooling giống tự nhiên,huong-cooling-giong-tu-nhien,
ING000326,Hương cherry tự nhiên,huong-cherry-tu-nhien,
ING000327,Hương quýt và gừng giống tự nhiên,huong-quyt-va-gung-giong-tu-nhien,
ING000328,Maltitol syrup,maltitol-syrup,
ING000329,Axit malic,axit-malic,
ING000330,Sorbitol syrup,sorbitol-syrup,
ING000331,trái cây cô đặc,trai-cay-co-dac,
ING000332,hương chanh tự nhiên,huong-chanh-tu-nhien,
ING000333,chiết xuất thảo dược,chiet-xuat-thao-duoc,
ING000334,Hương táo quế giống tự nhiên,huong-tao-que-giong-tu-nhien,
ING000335,Bông tự nhiên,bong-tu-nhien,100%
ING000336,Giấy,giay,
ING000337,Chitosan,chitosan,
ING000338,Polyvinyl alcohol,polyvinyl-alcohol,
ING000339,Bông Cotton,bong-cotton,100%
ING000340,propylen glycol,propylen-glycol,
ING000341,Axit lactic,axit-lactic,
ING000342,Methylhydroxypropyl cellulose,methylhydroxypropyl-cellulose,
ING000343,Natri Lactat,natri-lactat,
ING000344,glycogen,glycogen,
ING000345,pH 3.8,ph-38,
ING000346,Túi PE,tui-pe,
ING000347,Chất liệu PET,chat-lieu-pet,
ING000348,bông cellulose,bong-cellulose,
ING000349,Vải không dệt,vai-khong-det,
ING000350,Bột giấy,bot-giay,
ING000351,Polymer,polymer,
ING000352,PE,pe,
ING000353,Keo dính,keo-dinh,
ING000354,Giấy không dính,giay-khong-dinh,
ING000355,Miếng dán,mieng-dan,
ING000356,Bao gói,bao-goi,
ING000357,vải không dệt trắng,vai-khong-det-trang,
ING000358,Cellulose,cellulose,
ING000359,Silicon,silicon,
ING000360,Hạt siêu thấm,hat-sieu-tham,
ING000361,Leadtape,leadtape,
ING000362,Latex,latex,
ING000363,Cotton,cotton,100%
ING000364,Que bông từ nhựa nguyên sinh,que-bong-tu-nhua-nguyen-sinh,
ING000365,Que bông từ giấy tự nhiên,que-bong-tu-giay-tu-nhien,
ING000366,Nano Silver,nano-silver,
ING000367,polyme kết dính,polyme-ket-dinh,
ING000368,Vitamin E,vitamin-e,
ING000369,Giấy tráng silicon,giay-trang-silicon,
ING000370,Sợi đàn hồi,soi-dan-hoi,
ING000371,Chun,chun,
ING000372,Hương bạc hà,huong-bac-ha,
ING000373,BOPP,bopp,
ING000374,PP,pp,
ING000375,Water,water,
ING000376,Cocamidopropyl betaine,cocamidopropyl-betaine,
ING000377,PEG-80 Sorbitan Laurate,peg-80-sorbitan-laurate,
ING000378,PEG-150 Pentaerythrityl Tetrastearate,peg-150-pentaerythrityl-tetrastearate,
ING000379,Ppg-2 Hydroxyethyl Cocamide,ppg-2-hydroxyethyl-cocamide,
ING000380,Decyl glucoside,decyl-glucoside,
ING000381,Phenoxyethanol,phenoxyethanol,
ING000382,Sodium methyl cocoyl taurate,sodium-methyl-cocoyl-taurate,
ING000383,Fragrance,fragrance,
ING000384,Ethylhexylglycerin,ethylhexylglycerin,
ING000385,Lõi 100% tơ nhân tạo tẩy trắng không Clo,loi-100percent-to-nhan-tao-tay-trang-khong-clo,
ING000386,Vỏ bọc sợi polyethylene/polyester,vo-boc-soi-polyethylenepolyester,
ING000387,Dây kéo tơ nhân tạo/polyester,day-keo-to-nhan-taopolyester,
ING000388,Polyester,polyester,
ING000389,Polyolefin,polyolefin,
ING000390,Keo kết dính,keo-ket-dinh,
ING000391,Mùi hương,mui-huong,
ING000392,Dẫn xuất Menthol,dan-xuat-menthol,
ING000393,Màng vải in trung chuyển,mang-vai-in-trung-chuyen,
ING000394,Thun đàn hồi,thun-dan-hoi,
ING000395,Màng kháng khuẩn,mang-khang-khuan,
ING000396,Giấy trắng silicone,giay-trang-silicone,
ING000397,Vải không dệt có chưa vitamin B5,vai-khong-det-co-chua-vitamin-b5,
ING000398,Màng lưới,mang-luoi,
ING000399,Màng vải không dệt,mang-vai-khong-det,
ING000400,Chiết xuất trà xanh,chiet-xuat-tra-xanh,
ING000401,Keo cấu trúc,keo-cau-truc,
ING000402,Polysorbate 20,polysorbate-20,
ING000403,Potassium acesulfanem,potassium-acesulfanem,
ING000404,Chlohexidin digluconate,chlohexidin-digluconate,
ING000405,Potassium sorbate,potassium-sorbate,
ING000406,Xylitol,xylitol,
ING000407,Allantoin,allantoin,
ING000408,Tocopheryl acetate,tocopheryl-acetate,
ING000409,Aloes (aloe barbadensis),aloes-aloe-barbadensis,
ING000410,Thymol,thymol,
ING000411,Cetylpyridinium chloride,cetylpyridinium-chloride,
ING000412,Flavor,flavor,
ING000413,Lonicera Caprifolium Extract,lonicera-caprifolium-extract,
ING000414,Chamomilla Recutita Flower extract,chamomilla-recutita-flower-extract,
ING000415,Salvia officinalis leaf extract,salvia-officinalis-leaf-extract,
ING000416,Commiphora myrrha resin,commiphora-myrrha-resin,
ING000417,Sodium fluoride,sodium-fluoride,
ING000418,Anthemis Nobilis Flower,anthemis-nobilis-flower,
ING000419,Potassium Chloride,potassium-chloride,
ING000420,Melaleuca Alternifolia Leaf Oil,melaleuca-alternifolia-leaf-oil,
ING000421,Sodium clorid,sodium-clorid, 
ING000422,Ion Alkaline,ion-alkaline, 
ING000423,Dipotassium Glycyrrhizate,dipotassium-glycyrrhizate,
ING000424,Silica,silica,
ING000425,Calcium Pyrophosphate,calcium-pyrophosphate,
ING000426,Peg-8,peg-8,
ING000427,Butylene glycol,butylene-glycol,
ING000428,Alcohol,alcohol,
ING000429,Microcrystalline cellulose,microcrystalline-cellulose,
ING000430,Sodium lauryl sulfate,sodium-lauryl-sulfate,
ING000431,Sodium hyaluronate,sodium-hyaluronate,
ING000432,Sodium Polyphosphate,sodium-polyphosphate,
ING000433,Sodium carbonate,sodium-carbonate,
ING000434,Stevia Rebaudiana Leaf,stevia-rebaudiana-leaf,
ING000435,Cyclodextrin,cyclodextrin,
ING000436,Eugenia Caryophyllus (Clove) Leaf Oil,eugenia-caryophyllus-clove-leaf-oil,
ING000437,Eugenia caryophyllus (clove) bud oil,eugenia-caryophyllus-clove-bud-oil,
ING000438,Chlorophyllin-Copper Complex,chlorophyllin-copper-complex,
ING000439,Ethylparaben,ethylparaben,
ING000440,Cl 45380,cl-45380,
ING000441,Cellulose gum,cellulose-gum,
ING000442,Disodium phosphate,disodium-phosphate,
ING000443,Aroma,aroma,
ING000444,Titanium dioxide,titanium-dioxide,
ING000445,Lauryl glucoside,lauryl-glucoside,
ING000446,Sodium saccharin,sodium-saccharin,
ING000447,Sodium Phosphate,sodium-phosphate,
ING000448,Methylparaben,methylparaben,
ING000449,Cl 77891,cl-77891,
ING000450,Hydrated silica,hydrated-silica,
ING000451,Sodium Chloride,sodium-chloride,
ING000452,PEG-32,peg-32,
ING000453,Gum,gum,
ING000454,Psidium Guajava Fruit,psidium-guajava-fruit,
ING000455,Troxerutin,troxerutin,
ING000456,Chiết xuất Keo ong,chiet-xuat-keo-ong,
ING000457,Nhựa,nhua,
ING000458,PIN,pin,
ING000459,TPE,tpe,
ING000460,POM,pom,
ING000461,Nhựa ASA,nhua-asa,
ING000462,Polypropylen,polypropylen,
ING000463,polyamide,polyamide,
ING000464,Silica Steardimoniumpropyl Silylate,silica-steardimoniumpropyl-silylate,
ING000465,CI 77891,ci-77891,0.5%
ING000466,Pca Ethyl Cocoyl Arginate,pca-ethyl-cocoyl-arginate,
ING000467,PA,pa,
ING000468,Peg-40 Hydrogenated Castor Oil,peg-40-hydrogenated-castor-oil,
ING000469,Eugenol,eugenol,
ING000470,Methyl salicylate,methyl-salicylate,
ING000471,Sodium Methylparaben,sodium-methylparaben,
ING000472,CI 14720,ci-14720,
ING000473,D-limonene,d-limonene,
ING000474,Cinnamal,cinnamal,
ING000475,Đinh hương,dinh-huong,
ING000476,Vỏ Cau,vo-cau,
ING000477,Hoa Hòe,hoa-hoe,
ING000478,Keo Ong,keo-ong,
ING000479,Natri fluorid,natri-fluorid,
ING000480,Muối,muoi,
ING000481,Dịch chiết Ratany,dich-chiet-ratany,
ING000482,Nhựa Hips,nhua-hips,
ING000483,Hosphosilicate (NOVAMIN),hosphosilicate-novamin, 
ING000484,Limonene,limonene, 
ING000485,Poloxamer,poloxamer,
ING000486,PEG-6,peg-6, 
ING000487,Poloxamer 407,poloxamer-407,
ING000488,Methyl Salicylat,methyl-salicylat,
ING000489,Methyl Hydroxybenzoate,methyl-hydroxybenzoate,
ING000490,Magie clorua,magie-clorua,
ING000491,Canxi clorua,canxi-clorua,
ING000492,Kali clorua,kali-clorua,
ING000493,PEG-60 Hydrogenated castor oil,peg-60-hydrogenated-castor-oil,
ING000494,Potassium nitrate,potassium-nitrate, 
ING000495,Lược vàng,luoc-vang,
ING000496,Hạt cau,hat-cau,
ING000497,PEG-12,peg-12,
ING000498,Methyl lactate,methyl-lactate,
ING000499,Disodium cocoyl glutamate,disodium-cocoyl-glutamate,
ING000500,Zinc citrate,zinc-citrate,
ING000501,Cocamidoproyl Betaine,cocamidoproyl-betaine,
ING000502,Cl 19140,cl-19140,
ING000503,Cl 42090,cl-42090,
ING000504,glycerine,glycerine,
ING000505,Eucalytol,eucalytol,
ING000506,Green Tea,green-tea,
ING000507,Cúc la mã,cuc-la-ma,
ING000508,Tràm trà,tram-tra,
ING000509,Lô hội,lo-hoi,
ING000510,bách li hương,bach-li-huong,
ING000511,Potassium,potassium,5.00%
ING000512,Propylene Glycol Flavour,propylene-glycol-flavour,
ING000513,Nylon,nylon, 
ING000514,CI 42053,ci-42053,
ING000515,Nhựa PE,nhua-pe,
ING000516,Zinc chloride,zinc-chloride,
ING000517,CI 42090,ci-42090,
ING000518,CI 16035,ci-16035,
ING000519,Potassium Acesulfame,potassium-acesulfame,
ING000520,Flavour,flavour,
ING000521,Caramel,caramel,
ING000522,Tinh dầu tràm,tinh-dau-tram,
ING000523,Tinh dầu Sả chanh,tinh-dau-sa-chanh,
ING000524,Vaseline dưỡng da chiết xuất từ thiên nhiên,vaseline-duong-da-chiet-xuat-tu-thien-nhien,
ING000525,Camphene,camphene,
ING000526,Linalool,linalool,
ING000527,Menthone,menthone,
ING000528,Menthyl Acetate,menthyl-acetate,
ING000529,"1,3 Propylen glycol",13-propylen-glycol,
ING000530,a-Pinene,a-pinene,
ING000531,a-Citral,a-citral,
ING000532,3-Carene,3-carene,
ING000533,Methone,methone,
ING000534,Neomenthol,neomenthol,
ING000535,B-Nerol,b-nerol,
