product_code,ingredient_code,strength_value,strength_unit
P000092,ING000219,,
P000092,ING000116,,
P000092,ING000124,,
P000092,ING000220,,
P000092,ING000195,,
P000092,ING000054,,
P000092,ING000221,,
P000093,ING000005,,
P000093,ING000097,,
P000093,ING000098,,
P000093,ING000195,,
P000093,ING000060,,
P000093,ING000123,,
P000093,ING000057,,
P000094,ING000005,,
P000094,ING000097,,
P000094,ING000060,,
P000094,ING000195,,
P000094,ING000098,,
P000094,ING000123,,
P000094,ING000057,,
P000095,ING000222,,
P000095,ING000223,,
P000095,ING000067,,
P000096,ING000224,,
P000096,ING000225,,
P000096,ING000226,,
P000096,ING000174,,
P000096,ING000120,,
P000096,ING000227,,
P000096,ING000228,,
P000096,ING000017,,
P000096,ING000229,,
P000096,ING000114,,
P000097,ING000133,,
P000097,ING000132,,
P000097,ING000131,,
P000098,ING000071,,
P000098,ING000230,,
P000098,ING000057,,
P000099,ING000231,,
P000099,ING000232,,
P000100,ING000071,,
P000101,ING000231,,
P000102,ING000134,,
P000102,ING000062,,
P000102,ING000065,,
P000102,ING000135,,
P000103,ING000110,,
P000104,ING000233,,
P000104,ING000234,,
P000104,ING000235,,
P000105,ING000059,,
P000105,ING000136,,
P000105,ING000174,,
P000106,ING000059,,
P000106,ING000174,,
P000106,ING000236,,
P000106,ING000237,,
P000106,ING000210,,
P000106,ING000238,,
P000106,ING000239,,
P000106,ING000051,,
P000106,ING000240,,
P000106,ING000241,,
P000106,ING000242,,
P000106,ING000054,,
P000107,ING000181,,
P000107,ING000084,,
P000107,ING000085,,
P000108,ING000240,,
P000108,ING000243,,
P000108,ING000090,,
P000108,ING000244,,
P000108,ING000245,,
P000108,ING000246,,
P000109,ING000247,,
P000109,ING000248,,
P000109,ING000249,,
P000109,ING000092,,
P000109,ING000250,,
P000110,ING000104,,
P000110,ING000107,,
P000110,ING000251,,
P000110,ING000106,,
P000110,ING000105,,
P000110,ING000252,,
P000111,ING000125,,
P000111,ING000048,,
P000111,ING000018,,
P000111,ING000005,,
P000111,ING000092,,
P000111,ING000047,,
P000111,ING000253,,
P000111,ING000254,,
P000111,ING000052,,
P000111,ING000255,,
P000111,ING000256,,
P000112,ING000034,,
P000112,ING000132,,
P000112,ING000018,,
P000112,ING000041,,
P000112,ING000257,,
P000112,ING000258,,
P000112,ING000259,,
P000112,ING000260,,
P000112,ING000052,,
P000113,ING000261,,
P000113,ING000131,,
P000113,ING000262,,
P000113,ING000263,,
P000114,ING000211,,
P000114,ING000229,,
P000114,ING000095,,
P000114,ING000264,,
P000114,ING000265,,
P000114,ING000222,,
P000114,ING000266,,
P000115,ING000067,,
P000115,ING000267,,
P000115,ING000222,,
P000116,ING000041,,
P000116,ING000268,,
P000116,ING000222,,
P000116,ING000132,,
P000116,ING000244,,
P000116,ING000267,,
P000116,ING000269,,
P000117,ING000240,,
P000117,ING000270,,
P000117,ING000153,,
P000117,ING000271,,
P000118,ING000267,,
P000118,ING000104,,
P000118,ING000153,,
P000118,ING000272,,
P000119,ING000273,,
P000119,ING000050,,
P000119,ING000052,,
P000119,ING000034,,
P000119,ING000090,,
P000119,ING000153,,
P000119,ING000274,,
P000119,ING000275,,
P000120,ING000273,,
P000120,ING000050,,
P000120,ING000276,,
P000120,ING000034,,
P000120,ING000090,,
P000120,ING000153,,
P000120,ING000274,,
P000120,ING000277,,
P000120,ING000278,,
P000121,ING000273,,
P000121,ING000050,,
P000121,ING000140,,
P000121,ING000034,,
P000121,ING000090,,
P000121,ING000153,,
P000121,ING000274,,
P000121,ING000279,,
P000121,ING000277,,
P000122,ING000084,,
P000122,ING000280,,
P000123,ING000084,,
P000123,ING000281,,
P000123,ING000085,,
P000124,ING000282,,
P000124,ING000283,,
P000124,ING000284,,
P000124,ING000285,,
P000124,ING000286,,
P000124,ING000174,,
P000124,ING000017,,
P000124,ING000287,,
P000124,ING000179,,
P000124,ING000095,,
P000124,ING000288,,
P000124,ING000289,,
P000124,ING000290,,
P000124,ING000291,,
P000124,ING000292,,
P000124,ING000157,,
P000124,ING000293,,
P000125,ING000105,,
P000125,ING000106,,
P000125,ING000129,,
P000125,ING000107,,
P000125,ING000294,,
P000125,ING000242,,
P000126,ING000106,,
P000126,ING000295,,
P000126,ING000252,,
P000127,ING000240,,
P000127,ING000104,,
P000127,ING000270,,
P000127,ING000296,,
P000127,ING000297,,
P000128,ING000081,,
P000128,ING000082,,
P000128,ING000083,,
P000129,ING000054,,
P000129,ING000195,,
P000129,ING000298,,
P000129,ING000124,,
P000129,ING000194,,
P000129,ING000098,,
P000129,ING000060,,
P000129,ING000299,,
P000130,ING000240,,
P000130,ING000104,,
P000130,ING000300,,
P000130,ING000301,,
P000130,ING000067,,
P000131,ING000302,,
P000131,ING000303,,
P000131,ING000052,,
P000131,ING000300,,
P000131,ING000153,,
P000131,ING000067,,
P000131,ING000240,,
P000132,ING000302,,
P000132,ING000052,,
P000132,ING000304,,
P000132,ING000300,,
P000132,ING000153,,
P000132,ING000067,,
P000132,ING000240,,
P000133,ING000305,,
P000133,ING000306,,
P000133,ING000307,,
P000133,ING000308,,
P000134,ING000200,,
P000134,ING000309,,
P000134,ING000310,,
P000135,ING000034,,
P000135,ING000311,,
P000135,ING000090,,
P000135,ING000041,,
P000135,ING000312,,
P000135,ING000313,,
P000136,ING000295,,
P000136,ING000106,,
P000136,ING000125,,
P000136,ING000314,,
P000137,ING000315,,
P000137,ING000274,,
P000137,ING000316,,
P000137,ING000317,,
P000138,ING000267,,
P000138,ING000318,,
P000138,ING000315,,
P000138,ING000153,,
P000138,ING000319,,
P000138,ING000274,,
P000138,ING000320,,
P000138,ING000317,,
P000139,ING000321,,
P000139,ING000251,,
P000139,ING000322,,
P000139,ING000323,,
P000139,ING000174,,
P000139,ING000125,,
P000140,ING000267,,
P000140,ING000318,,
P000140,ING000315,,
P000140,ING000319,,
P000140,ING000274,,
P000140,ING000324,,
P000140,ING000325,,
P000140,ING000317,,
P000141,ING000315,,
P000141,ING000318,,
P000141,ING000274,,
P000141,ING000155,,
P000141,ING000319,,
P000141,ING000326,,
P000141,ING000317,,
P000142,ING000267,,
P000142,ING000318,,
P000142,ING000315,,
P000142,ING000319,,
P000142,ING000274,,
P000142,ING000327,,
P000142,ING000317,,
P000143,ING000041,,
P000143,ING000328,,
P000143,ING000329,,
P000143,ING000330,,
P000143,ING000331,,
P000143,ING000223,,
P000143,ING000332,,
P000143,ING000052,,
P000143,ING000333,,
P000143,ING000316,,
P000144,ING000267,,
P000144,ING000318,,
P000144,ING000315,,
P000144,ING000153,,
P000144,ING000319,,
P000144,ING000274,,
P000144,ING000334,,
P000144,ING000317,,
P000145,ING000335,,
P000146,ING000336,,
P000146,ING000337,,
P000146,ING000338,,
P000146,ING000339,,
P000147,ING000337,,
P000147,ING000338,,
P000147,ING000339,,
P000147,ING000336,,
P000148,ING000337,,
P000148,ING000338,,
P000148,ING000339,,
P000148,ING000336,,
P000149,ING000017,,
P000149,ING000340,,
P000149,ING000341,,
P000149,ING000342,,
P000149,ING000343,,
P000149,ING000344,,
P000149,ING000345,,
P000150,ING000346,,
P000150,ING000347,,
P000150,ING000348,,
P000150,ING000349,,
P000155,ING000349,,
P000155,ING000336,,
P000155,ING000350,,
P000155,ING000351,,
P000155,ING000352,,
P000155,ING000353,,
P000155,ING000354,,
P000155,ING000355,,
P000155,ING000356,,
P000156,ING000357,,
P000156,ING000358,,
P000156,ING000336,,
P000156,ING000359,,
P000156,ING000351,,
P000156,ING000104,,
P000156,ING000352,,
P000156,ING000360,,
P000156,ING000361,,
P000157,ING000362,,
P000158,ING000363,,
P000159,ING000364,,
P000159,ING000335,,
P000160,ING000364,,
P000160,ING000335,,
P000161,ING000365,,
P000161,ING000335,,
P000162,ING000335,,
P000162,ING000365,,
P000163,ING000365,,
P000163,ING000335,,
P000164,ING000335,,
P000165,ING000348,,
P000165,ING000360,,
P000165,ING000366,,
P000165,ING000352,,
P000165,ING000336,,
P000165,ING000367,,
P000165,ING000368,,
P000165,ING000333,,
P000165,ING000369,,
P000166,ING000335,,
P000166,ING000365,,
P000167,ING000349,,
P000167,ING000336,,
P000167,ING000350,,
P000167,ING000351,,
P000167,ING000352,,
P000167,ING000353,,
P000167,ING000370,,
P000167,ING000356,,
P000168,ING000349,,
P000168,ING000348,,
P000168,ING000360,,
P000168,ING000352,,
P000168,ING000371,,
P000168,ING000336,,
P000168,ING000367,,
P000169,ING000349,,
P000169,ING000348,,
P000169,ING000360,,
P000169,ING000336,,
P000169,ING000352,,
P000169,ING000371,,
P000169,ING000367,,
P000169,ING000372,,
P000171,ING000335,,
P000172,ING000335,,
P000172,ING000364,,
P000173,ING000335,,
P000173,ING000365,,
P000174,ING000335,,
P000174,ING000365,,
P000175,ING000357,,
P000175,ING000360,,
P000175,ING000348,,
P000175,ING000352,,
P000175,ING000371,,
P000175,ING000367,,
P000175,ING000373,,
P000175,ING000374,,
P000176,ING000374,,
P000176,ING000352,,
P000176,ING000360,,
P000176,ING000357,,
P000176,ING000348,,
P000176,ING000371,,
P000176,ING000367,,
P000176,ING000373,,
P000177,ING000374,,
P000177,ING000352,,
P000177,ING000360,,
P000177,ING000367,,
P000177,ING000348,,
P000177,ING000373,,
P000177,ING000357,,
P000178,ING000360,,
P000178,ING000357,,
P000178,ING000374,,
P000178,ING000352,,
P000178,ING000348,,
P000178,ING000371,,
P000178,ING000367,,
P000178,ING000373,,
P000179,ING000357,,
P000179,ING000360,,
P000179,ING000348,,
P000179,ING000352,,
P000179,ING000371,,
P000179,ING000367,,
P000179,ING000373,,
P000179,ING000374,,
P000180,ING000363,,
P000181,ING000375,,
P000181,ING000376,,
P000181,ING000377,,
P000181,ING000006,,
P000181,ING000378,,
P000181,ING000379,,
P000181,ING000380,,
P000181,ING000381,,
P000181,ING000382,,
P000181,ING000289,,
P000181,ING000383,,
P000181,ING000018,,
P000181,ING000384,,
P000182,ING000385,,
P000182,ING000386,,
P000182,ING000387,,
P000183,ING000388,,
P000183,ING000389,,
P000183,ING000350,,
P000183,ING000349,,
P000183,ING000369,,
P000183,ING000390,,
P000183,ING000391,,
P000183,ING000392,,
P000184,ING000349,,
P000184,ING000389,,
P000184,ING000388,,
P000184,ING000393,,
P000184,ING000350,,
P000184,ING000360,,
P000184,ING000369,,
P000184,ING000390,,
P000184,ING000394,,
P000185,ING000349,,
P000185,ING000389,,
P000185,ING000388,,
P000185,ING000395,,
P000185,ING000350,,
P000185,ING000396,,
P000185,ING000390,,
P000185,ING000391,,
P000186,ING000397,,
P000186,ING000350,,
P000186,ING000360,,
P000186,ING000389,,
P000186,ING000388,,
P000186,ING000369,,
P000186,ING000390,,
P000187,ING000398,,
P000187,ING000349,,
P000187,ING000388,,
P000187,ING000389,,
P000187,ING000350,,
P000187,ING000360,,
P000187,ING000369,,
P000187,ING000390,,
P000187,ING000391,,
P000188,ING000352,,
P000188,ING000399,,
P000188,ING000350,,
P000188,ING000360,,
P000188,ING000395,,
P000188,ING000394,,
P000188,ING000400,,
P000188,ING000401,,
P000189,ING000352,,
P000189,ING000399,,
P000189,ING000350,,
P000189,ING000360,,
P000189,ING000394,,
P000189,ING000401,,
P000190,ING000023,,
P000190,ING000273,,
P000190,ING000006,,
P000190,ING000402,,
P000190,ING000403,,
P000190,ING000404,,
P000190,ING000405,,
P000190,ING000406,,
P000190,ING000407,,
P000190,ING000034,,
P000190,ING000408,,
P000190,ING000409,,
P000190,ING000410,,
P000190,ING000411,,
P000190,ING000412,,
P000190,ING000413,,
P000190,ING000414,,
P000190,ING000415,,
P000190,ING000416,,
P000191,ING000023,,
P000191,ING000402,,
P000191,ING000006,,
P000191,ING000289,,
P000191,ING000403,,
P000191,ING000412,,
P000191,ING000417,,
P000191,ING000406,,
P000191,ING000411,,
P000191,ING000034,,
P000191,ING000408,,
P000191,ING000418,,
P000191,ING000419,,
P000191,ING000420,,
P000191,ING000410,,
P000192,ING000421,,
P000192,ING000422,,
P000193,ING000423,,
P000193,ING000408,,
P000193,ING000424,,
P000193,ING000425,,
P000193,ING000375,,
P000193,ING000426,,
P000193,ING000427,,
P000193,ING000428,,
P000193,ING000429,,
P000193,ING000430,,
P000193,ING000006,,
P000193,ING000431,,
P000193,ING000432,,
P000193,ING000383,,
P000193,ING000433,,
P000193,ING000434,,
P000193,ING000406,,
P000193,ING000435,,
P000193,ING000034,,
P000193,ING000436,,
P000193,ING000437,,
P000193,ING000438,,
P000193,ING000439,,
P000193,ING000381,,
P000194,ING000423,,
P000194,ING000408,,
P000194,ING000424,,
P000194,ING000425,,
P000194,ING000375,,
P000194,ING000427,,
P000194,ING000426,,
P000194,ING000428,,
P000194,ING000429,,
P000194,ING000430,,
P000194,ING000006,,
P000194,ING000431,,
P000194,ING000383,,
P000194,ING000433,,
P000194,ING000434,,
P000194,ING000406,,
P000194,ING000435,,
P000194,ING000034,,
P000194,ING000440,,
P000194,ING000438,,
P000194,ING000439,,
P000194,ING000381,,
P000194,ING000432,,
P000195,ING000375,,
P000195,ING000273,,
P000195,ING000424,,
P000195,ING000041,,
P000195,ING000441,,
P000195,ING000442,,
P000195,ING000443,,
P000195,ING000430,,
P000195,ING000444,,
P000195,ING000445,,
P000195,ING000417,,
P000195,ING000446,,
P000195,ING000447,,
P000195,ING000448,,
P000195,ING000449,,
P000196,ING000375,,
P000196,ING000273,,
P000196,ING000424,,
P000196,ING000041,,
P000196,ING000441,,
P000196,ING000443,,
P000196,ING000445,,
P000196,ING000444,,
P000196,ING000448,,
P000196,ING000446,,
P000196,ING000417,,
P000196,ING000442,,
P000196,ING000447,,
P000197,ING000273,,
P000197,ING000375,,
P000197,ING000450,,
P000197,ING000451,,
P000197,ING000452,,
P000197,ING000406,,
P000197,ING000430,,
P000197,ING000383,,
P000197,ING000358,,
P000197,ING000453,,
P000197,ING000446,,
P000197,ING000454,,
P000197,ING000455,,
P000197,ING000456,,
P000198,ING000457,,
P000199,ING000458,,
P000199,ING000459,,
P000199,ING000460,,
P000199,ING000461,,
P000199,ING000462,,
P000199,ING000463,,
P000200,ING000457,,
P000201,ING000375,,
P000201,ING000006,,
P000201,ING000429,,
P000201,ING000273,,
P000201,ING000464,,
P000201,ING000016,,
P000201,ING000445,,
P000201,ING000007,,
P000201,ING000443,,
P000201,ING000292,,
P000201,ING000465,,
P000201,ING000417,,
P000201,ING000446,,
P000201,ING000411,,
P000201,ING000423,,
P000201,ING000466,,
P000201,ING000376,,
P000202,ING000457,,
P000202,ING000467,,
P000202,ING000459,,
P000202,ING000460,,
P000202,ING000458,,
P000203,ING000457,,
P000203,ING000467,,
P000203,ING000459,,
P000203,ING000460,,
P000203,ING000458,,
P000204,ING000458,,
P000204,ING000460,,
P000204,ING000459,,
P000204,ING000462,,
P000204,ING000463,,
P000205,ING000458,,
P000205,ING000460,,
P000205,ING000459,,
P000205,ING000462,,
P000205,ING000463,,
P000206,ING000009,,
P000206,ING000417,,
P000206,ING000023,,
P000206,ING000273,,
P000206,ING000006,,
P000206,ING000468,,
P000206,ING000018,,
P000206,ING000443,,
P000206,ING000034,,
P000206,ING000469,,
P000206,ING000470,,
P000206,ING000446,,
P000206,ING000471,,
P000206,ING000472,,
P000206,ING000473,,
P000206,ING000474,,
P000207,ING000047,,
P000208,ING000023,,
P000208,ING000047,,
P000209,ING000047,,
P000210,ING000264,,
P000210,ING000475,,
P000210,ING000476,,
P000210,ING000477,,
P000210,ING000478,,
P000210,ING000368,,
P000210,ING000479,,
P000210,ING000480,,
P000210,ING000481,,
P000211,ING000388,,
P000211,ING000482,,
P000212,ING000006,,
P000212,ING000426,,
P000212,ING000450,,
P000212,ING000307,,
P000212,ING000376,,
P000212,ING000382,,
P000212,ING000443,,
P000212,ING000444,,
P000212,ING000024,,
P000212,ING000417,,
P000212,ING000446,,
P000212,ING000483,,
P000212,ING000484,,
P000213,ING000482,,
P000213,ING000388,,
P000214,ING000015,,
P000214,ING000485,,
P000214,ING000273,,
P000214,ING000428,,
P000214,ING000005,,
P000214,ING000446,,
P000214,ING000312,,
P000214,ING000410,,
P000214,ING000470,,
P000214,ING000034,,
P000214,ING000289,,
P000214,ING000412,,
P000215,ING000006,,
P000215,ING000273,,
P000215,ING000005,,
P000215,ING000450,,
P000215,ING000376,,
P000215,ING000382,,
P000215,ING000412,,
P000215,ING000486,,
P000215,ING000465,,
P000215,ING000417,,
P000215,ING000020,,
P000215,ING000014,,
P000215,ING000446,,
P000216,ING000375,,
P000216,ING000428,,
P000216,ING000273,,
P000216,ING000487,,
P000216,ING000025,,
P000216,ING000446,,
P000216,ING000312,,
P000216,ING000410,,
P000216,ING000034,,
P000216,ING000289,,
P000216,ING000252,,
P000216,ING000488,,
P000216,ING000412,,
P000217,ING000047,,
P000217,ING000489,,
P000217,ING000017,,
P000218,ING000490,,
P000218,ING000491,,
P000218,ING000492,,
P000219,ING000388,,
P000219,ING000482,,
P000220,ING000375,,
P000220,ING000428,,
P000220,ING000006,,
P000220,ING000493,,
P000220,ING000443,,
P000220,ING000034,,
P000220,ING000446,,
P000220,ING000292,,
P000220,ING000018,,
P000221,ING000494,,
P000221,ING000006,,
P000221,ING000376,,
P000221,ING000273,,
P000221,ING000005,,
P000221,ING000450,,
P000221,ING000412,,
P000221,ING000020,,
P000222,ING000495,,
P000222,ING000107,,
P000222,ING000034,,
P000222,ING000450,,
P000222,ING000273,,
P000222,ING000104,,
P000222,ING000261,,
P000222,ING000016,,
P000222,ING000006,,
P000222,ING000023,,
P000222,ING000366,,
P000222,ING000496,,
P000222,ING000497,,
P000222,ING000498,,
P000222,ING000499,,
P000222,ING000441,,
P000224,ING000023,,
P000224,ING000273,,
P000224,ING000450,,
P000224,ING000006,,
P000224,ING000494,,
P000224,ING000443,,
P000224,ING000500,,
P000224,ING000020,,
P000224,ING000501,,
P000224,ING000382,,
P000224,ING000446,,
P000224,ING000417,,
P000224,ING000014,,
P000224,ING000502,,
P000224,ING000503,,
P000225,ING000504,,
P000225,ING000016,,
P000225,ING000273,,
P000225,ING000104,,
P000225,ING000366,,
P000225,ING000005,,
