product_code,registration_number,dosage_form_code,requires_prescription,shelf_life_months,temperature_condition,light_condition,humidity_condition
P001536,893110415724,DF000039,true,24,,,
P001537,890115012825,DF000026,true,24,,,
P001538,VD-34964-21,DF000026,true,36,,,
P001539,590110349725,DF000043,true,24,,,
P001540,800110006323,DF000026,true,36,,,
P001541,300110965424,DF000028,true,24,,,
P001542,300110965424,DF000028,true,24,,,
P001543,893110914524,DF000007,true,48,,,
P001544,893110241200,DF000033,true,36,,,
P001545,893110818224,DF000033,true,36,,,
P001546,893110237624,DF000026,true,36,,,
P001547,VD-35939-22,DF000026,true,24,,,
P001548,893110059500,DF000007,true,48,,,
P001549,893110388324,DF000039,true,24,,,
P001550,893110504224,DF000007,true,48,,,
P001551,880110350725,DF000028,true,36,,,
P001552,893110424224,DF000033,true,36,,,
P001553,890110004500,DF000026,true,36,,,
P001554,VD-35518-21,DF000026,true,36,,,
P001555,893110066623,DF000026,true,36,,,
P001556,893110005823,DF000026,true,24,,,
P001557,893110695224,DF000007,true,36,,,
P001558,893110072224,DF000026,true,36,,,
P001559,893110396723,DF000026,true,36,,,
P001560,893110496024,DF000044,true,24,,,
P001561,893110561024,DF000026,true,24,,,
P001562,VD-35234-21,DF000028,true,24,,,
P001563,893110848124,DF000039,true,24,,,
P001564,893110151925,DF000038,true,36,,,
P001565,893110817724,DF000033,true,36,,,
P001566,893110397424,DF000045,true,3,,,
P001567,893114594024,DF000026,true,3,,,
P001568,893110299700,DF000028,true,24,,,
P001569,594110013725,DF000026,true,24,,,
P001570,893110848224,DF000039,true,24,,,
P001571,VN-22564-20,DF000026,true,36,,,
P001572,893110152025,DF000038,true,36,,,
P001573,VD-20424-14,DF000026,true,36,,,
P001574,893110631324,DF000039,true,24,,,
P001575,893110854724,DF000026,true,36,,,
P001576,VD-34221-20,DF000026,true,36,,,
P001577,893110568024,DF000039,true,24,,,
P001578,VD-19581-13,DF000038,true,24,,,
P001579,VD3-166-22,DF000033,true,24,,,
P001580,893110254500,DF000028,true,36,,,
P001581,560110006224,DF000026,true,36,,,
P001582,893110051900,DF000026,true,36,,,
P001583,893110168225,DF000026,true,36,,,
P001584,VN-19963-16,DF000026,true,36,,,
P001585,VN-9663-10,DF000046,true,24,,,
P001586,893110068600,DF000033,true,36,,,
P001587,890110792524,DF000026,true,36,,,
P001588,868110003724,DF000007,true,24,,,
P001589,VD-21237-18,DF000026,true,24,,,
P001590,VD-21309-14,DF000026,true,36,,,
P001591,893110149025,DF000028,true,36,,,
P001592,893110493024,DF000007,true,36,,,
P001593,893110550624,DF000033,true,36,,,
P001594,893110046723,DF000007,true,36,,,
P001595,VD-20475-14,DF000026,true,36,,,
P001596,893110608224,DF000045,true,36,,,
P001597,893115103123,DF000026,true,36,,,
P001598,893115254223,DF000026,true,36,,,
P001599,893110271200,DF000047,true,36,,,
P001600,893110177224,DF000026,true,36,,,
P001601,893115108323,DF000026,true,36,,,
P001602,893115914324,DF000007,true,60,,,
P001603,VD-15523-11,DF000007,true,36,,,
P001604,VN2-250-14,DF000038,true,36,,,
P001605,840110070323,DF000026,true,36,,,
P001606,893110182124,DF000033,true,42,,,
P001607,893110314623,DF000033,true,42,,,
P001608,893110859224,DF000038,true,30,,,
P001609,893110152225,DF000038,true,30,,,
P001610,893110321524,DF000033,true,36,,,
P001611,893110129325,DF000028,true,36,,,
P001612,800110981924,DF000026,true,36,,,
P001613,800110779624,DF000026,true,36,,,
P001614,VD-18963-13,DF000038,true,24,,,
P001615,893110286200,DF000038,true,36,,,
P001616,VN-16762-13,DF000026,true,24,,,
P001617,VD-17438-12,DF000033,true,60,,,
P001618,VD-15517-11,DF000026,true,36,,,
P001619,893110602024,DF000026,true,36,,,
P001620,893110832324,DF000033,true,36,,,
P001621,893110387023,DF000026,true,60,,,
P001622,VN-18308-14,DF000028,true,24,,,
P001623,893110080500,DF000026,true,24,,,
P001624,VD-35196-21,DF000028,true,24,,,
P001625,893110176425,DF000005,true,24,,,
P001626,VD-12404-10,DF000028,true,36,,,
P001627,VD-12405-10,DF000028,true,36,,,
P001628,VN-15536-12,DF000026,true,36,,,
P001629,893110381323,DF000033,true,36,,,
P001630,893110154025,DF000028,true,24,,,
P001631,VD-19626-13,DF000028,true,24,,,
P001632,800110067023,DF000028,true,24,,,
P001633,400115400723,DF000026,true,60,,,
P001634,893110402724,DF000033,true,24,,,
P001635,520110785524,DF000028,true,36,,,
P001636,893110214424,DF000026,true,24,,,
P001637,868110073223,DF000028,true,36,,,
P001638,893115039300,DF000026,true,36,,,
P001639,893110352023,DF000038,true,36,,,
P001640,840115525624,DF000048,true,24,,,
P001641,VD-20159-13,DF000026,true,36,,,
P001642,VN-17475-13,DF000026,true,36,,,
P001643,893110535224,DF000033,true,36,,,
P001644,VD-17976-12,DF000049,true,24,,,
P001645,VD-30557-18,DF000049,true,24,,,
P001646,VD-22279-15,DF000033,true,24,,,
P001647,893110615924,DF000026,true,36,,,
P001648,890110038925,DF000007,true,36,,,
P001649,893110906924,DF000033,true,36,,,
P001650,893110383824,DF000033,true,24,,,
P001651,893110202500,DF000028,true,36,,,
P001652,893110358823,DF000033,true,24,,,
P001653,VD-14223-11,DF000033,true,36,,,
P001654,893110004626,DF000038,true,42,,,
P001655,893115107223,DF000026,true,36,,,
P001656,893110177924,DF000033,true,36,,,
P001657,VD-21558-14,DF000026,true,36,,,
P001658,893110286100,DF000028,true,36,,,
P001659,893110378924,DF000026,true,36,,,
P001660,893110202400,DF000028,true,36,,,
P001661,VD-22035-14,DF000007,true,36,,,
P001662,893110681724,DF000045,true,48,,,
P001663,893110559224,DF000026,true,36,,,
P001664,893110209625,DF000028,true,36,,,
P001665,VD-24195-16,DF000007,true,60,,,
P001666,893115269823,DF000026,true,36,,,
P001667,VD-21559-14,DF000026,true,36,,,
P001668,VN-17450-13,DF000028,true,36,,,
P001669,893110682924,DF000026,true,36,,,
P001670,VD-19581-13,DF000038,true,24,,,
P001671,893110107323,DF000026,true,36,,,
P001672,VD-23385-15,DF000026,true,36,,,
P001673,800110994624,DF000033,true,48,,,
P001674,890114195523,DF000026,true,24,,,
P001675,893110615824,DF000007,true,36,,,
P001676,893110383523,DF000033,true,36,,,
P001677,VD-20041-13,DF000026,true,36,,,
P001678,893110312924,DF000007,true,36,,,
P001679,893115595424,DF000026,true,24,,,
P001680,VN-18994-15,DF000026,true,36,,,
P001681,893110309324,DF000026,true,36,,,
P001682,VN2-356-15,DF000026,true,36,,,
P001683,893110152125,DF000038,true,42,,,
P001684,520115446025,DF000026,true,48,,,
P001685,520115445925,DF000026,true,48,,,
P001686,893115004726,DF000028,true,36,,,
P001687,VD-24308-16,DF000028,true,36,,,
P001688,868110014625,DF000026,true,24,,,
P001689,868110088423,DF000026,true,24,,,
P001690,893110254400,DF000033,true,36,,,
P001691,893110285123,DF000026,true,36,,,
P001692,894110797024,DF000026,true,24,,,
P001693,893110821324,DF000026,true,30,,,
P001694,893114096323,DF000026,true,24,,,
P001695,893110271323,DF000026,true,36,,,
P001696,893110375323,DF000050,true,36,,,
P001697,893110129725,DF000028,true,36,,,
P001698,893110129125,DF000038,true,24,,,
P001699,885115787124,DF000026,true,60,,,
P001700,893110469124,DF000007,true,36,,,
P001701,893110380123,DF000026,true,36,,,
P001702,868110073423,DF000028,true,36,,,
P001703,VD-22411-15,DF000051,true,36,,,
P001704,893110505224,DF000026,true,36,,,
P001705,520110785524,DF000028,true,36,,,
P001706,893110202800,DF000028,true,36,,,
P001707,868110083923,DF000026,true,,,,
P001708,893110136625,DF000028,true,24,,,
P001709,800410036123,DF000052,true,36,,,
P001710,VD-23965-15,DF000007,true,60,,,
P001711,893110548224,DF000033,true,36,,,
P001712,893115336524,DF000028,true,36,,,
P001713,893110476124,DF000026,true,36,,,
P001714,893110149424,DF000026,true,24,,,
P001715,893110324624,DF000026,true,24,,,
P001716,893110601524,DF000045,true,36,,,
P001717,890110441023,DF000026,true,36,,,
P001718,900110976524,DF000026,true,18,,,
P001719,893110836824,DF000033,true,48,,,
P001720,893110666124,DF000033,true,36,,,
P001721,893115380124,DF000026,true,36,,,
P001722,893110835624,DF000026,true,36,,,
P001723,893110835724,DF000026,true,36,,,
P001724,VN-18311-14,DF000036,true,30,,,
P001725,893110239600,DF000026,true,24,,,
P001726,893110833724,DF000033,true,36,,,
P001727,893110486524,DF000007,true,36,,,
P001728,893115192824,DF000023,true,36,,,
P001729,893110895924,DF000026,true,24,,,
P001730,VD-24308-16,DF000028,true,36,,,
P001731,893110495024,DF000033,true,3,,,
P001732,VD-33587-19,DF000038,true,30,,,
P001733,893110588724,DF000026,true,36,,,
P001734,893115871424,DF000026,true,36,,,
P001735,893115288223,DF000026,true,36,,,
P001736,754110085223,DF000026,true,48,,,
P001737,893110611524,DF000026,true,36,,,
P001738,VD-15027-11,DF000026,true,36,,,
P001739,VD-18831-13,DF000026,true,48,,,
P001740,868110309125,DF000007,true,36,,,
P001741,VD-19820-13,DF000026,true,36,,,
P001742,893110866924,DF000033,true,36,,,
P001743,893110082700,DF000033,true,36,,,
P001744,VD-21835-14,DF000007,true,36,,,
P001745,400110450725,DF000026,true,36,,,
P001746,893110320023,DF000026,true,36,,,
P001747,VD-1043-06,DF000036,true,36,,,
P001748,VD-1042-06,DF000036,true,36,,,
P001749,VD-21443-14,DF000033,true,36,,,
P001750,893110720324,DF000033,true,48,,,
P001751,893110050900,DF000026,true,24,,,
P001752,893115904524,DF000026,true,36,,,
P001753,VD-15029-11,DF000053,true,36,,,
P001754,893110377423,DF000026,true,36,,,
P001755,893110549824,DF000026,true,36,,,
P001756,VD-18120-12,DF000011,true,36,,,
P001757,VD-17124-12,DF000033,true,36,,,
P001758,893110148325,DF000028,true,36,,,
P001759,893110182024,DF000033,true,42,,,
P001760,893115906424,DF000026,true,36,,,
P001761,896115995224,DF000026,true,60,,,
P001762,VD-18068-12,DF000026,true,42,,,
P001763,893110462224,DF000026,true,48,,,
P001764,893110382723,DF000026,true,48,,,
P001765,890110127223,DF000026,true,24,,,
P001766,VD-15025-11,DF000007,true,60,,,
P001767,VD-13613-10,DF000033,true,36,,,
P001768,893115063424,DF000026,true,36,,,
P001769,VN-14008-11,DF000054,true,48,,,
P001770,893110032200,DF000026,true,24,,,
P001771,893110829924,DF000033,true,36,,,
P001772,893110853324,DF000026,true,36,,,
P001773,893110056200,DF000026,true,36,,,
P001774,893110056100,DF000033,true,36,,,
P001775,893110268023,DF000033,true,36,,,
P001776,VD-20473-14,DF000033,true,48,,,
P001777,893110082024,DF000033,true,36,,,
P001778,893114428924,DF000026,true,24,,,
P001779,893110279523,DF000007,true,36,,,
P001780,893110411524,DF000055,true,36,,,
P001781,893110571724,DF000026,true,36,,,
P001782,893110207725,DF000026,true,36,,,
P001783,VD-16026-11,DF000033,true,48,,,
P001784,893110276100,DF000026,true,36,,,
P001785,VD-21538-14,DF000026,true,36,,,
P001786,893110095523,DF000005,true,36,,,
P001787,893110423924,DF000033,true,36,,,
P001788,VD-18303-13,DF000033,true,36,,,
P001789,893110170725,DF000005,true,24,,,
P001790,VD-16648-12,DF000026,true,36,,,
P001791,893110705224,DF000026,true,24,,,
P001792,VD-21357-14,DF000026,true,36,,,
P001793,893110361625,DF000007,true,36,,,
P001794,VD-18938-13,DF000033,true,36,,,
P001795,893110337624,DF000039,true,36,,,
P001796,VD-21898-14,DF000007,true,24,,,
P001797,VD-13079-10,DF000035,true,36,,,
P001798,893110129025,DF000049,true,36,,,
P001799,893115271123,DF000026,true,36,,,
P001800,893110286500,DF000038,true,24,,,
P001801,893110286400,DF000056,true,24,,,
P001802,893110245600,DF000026,true,36,,,
P001803,893110046300,DF000029,true,36,,,
P001804,893110270123,DF000007,true,36,,,
P001805,VD-11149-10,DF000026,true,36,,,
P001806,VD-23359-15,DF000026,true,48,,,
P001807,893115676324,DF000026,true,36,,,
P001808,893110882024,DF000057,true,36,,,
P001809,893110129625,DF000026,true,36,,,
P001810,VD-8211-09,DF000028,true,36,,,
P001811,893110072824,DF000033,true,36,,,
P001812,VD-23491-15,DF000005,true,36,,,
P001813,893110103424,DF000033,true,36,,,
P001814,893110897124,DF000026,true,24,,,
P001815,893110831224,DF000033,true,36,,,
P001816,840110786724,DF000026,true,36,,,
P001817,VD-21273-14,DF000026,true,36,,,
P001818,893110392823,DF000033,true,36,,,
P001819,VD- 23220-15,DF000026,true,36,,,
P001820,893110073524,DF000026,true,24,,,
P001821,893115326323,DF000026,true,36,,,
P001822,893115097124,DF000026,true,24,,,
P001823,VN-19536-15,DF000026,true,24,,,
P001824,893110242100,DF000026,true,36,,,
P001825,893110068724,DF000026,true,36,,,
P001826,VD-21632-14,DF000033,true,36,,,
P001827,893110693824,DF000033,true,36,,,
P001828,893110309224,DF000026,true,36,,,
P001829,893110356723,DF000007,true,24,,,
P001830,VD-23202-15,DF000033,true,36,,,
P001831,VD-32263-19,DF000028,true,36,,,
P001832,893115124625,DF000026,true,36,,,
P001833,893110269323,DF000033,true,24,,,
P001834,893110014000,DF000026,true,36,,,
P001835,894110008324,DF000026,true,48,,,
P001836,VD-21557-14,DF000026,true,36,,,
P001837,890110025125,DF000026,true,24,,,
P001838,VD-19890-13,DF000007,true,48,,,
P001839,VD-20582-14,DF000026,true,36,,,
P001840,893110269223,DF000033,true,24,,,
P001841,893110129425,DF000038,true,36,,,
P001842,893115202700,DF000026,true,36,,,
P001843,VD26600-17,DF000026,true,24,,,
P001844,893110585824,DF000026,true,24,,,
P001845,VD-17470-12 ,DF000035,true,36,,,
P001846,893110466923,DF000026,true,24,,,
P001847,VN2-152-13,DF000026,true,36,,,
P001848,760110441723,DF000033,true,30,,,
P001849,890110407323,DF000058,true,24,,,
P001850,VD-22145-15,DF000026,true,36,,,
P001851,893110437724,DF000033,true,24,,,
P001852,893110111123,DF000026,true,36,,,
P001853,893110145325,DF000028,true,24,,,
P001854,893115044900,DF000026,true,36,,,
P001855,893110395923,DF000026,true,36,,,
P001856,893110332424,DF000026,true,24,,,
P001857,893110120325,DF000045,true,36,,,
P001858,VD-34823-20,DF000038,true,36,,,
P001859,VD-34446-20,DF000039,true,36,,,
P001860,893110505124,DF000043,true,2,,,
P001861,893110224800,DF000028,true,24,,,
P001862,VN-13784-11,DF000045,true,36,,,
P001863,380110010224,DF000033,true,24,,,
P001864,893115615124,DF000026,true,48,,,
P001865,893115048500,DF000026,true,36,,,
P001866,594110036025,DF000028,true,36,,,
P001867,893110599224,DF000028,true,36,,,
P001868,VN-18455-14,DF000028,true,36,,,
P001869,893110192724,DF000011,true,2,,,
P001870,893110255900,DF000033,true,24,,,
P001871,893110144525,DF000028,true,36,,,
P001872,VD-23903-15,DF000033,true,36,,,
P001873,893110227625,DF000026,true,30,,,
P001874,VN-21285-18,DF000026,true,36,,,
P001875,VN-21395-18,DF000039,true,24,,,
P001876,893110271623,DF000026,true,24,,,
P001877,893110319923,DF000026,true,36,,,
P001878,890110992424,DF000026,true,24,,,
P001879,VN3-31-18,DF000026,true,36,,,
P001880,VD-22344-15,DF000028,true,36,,,
P001881,VD-15003-11,DF000007,true,36,,,
P001882,800110022624,DF000026,true,24,,,
P001883,890110992324,DF000033,true,24,,,
P001884,VN-13182-11,DF000013,true,36,,,
P001885,893110929224,DF000026,true,24,,,
P001886,VN-19831-16,DF000007,true,24,,,
P001887,VD-14854-11,DF000026,true,24,,,
P001888,893110685824,DF000026,true,36,,,
P001889,VN-17036-13,DF000045,true,36,,,
P001890,893110214324,DF000007,true,60,,,
P001891,893110300100,DF000026,true,36,,,
P001892,893110103723,DF000007,true,36,,,
P001893,VD-17129-12,DF000026,true,24,,,
P001894,VN-11569-10,DF000059,true,36,,,
P001895,893110214200,DF000033,true,36,,,
P001896,VD-23807-15,DF000026,true,36,,,
P001897,893110607624,DF000033,true,36,,,
P001898,VN-15977-12,DF000026,true,36,,,
P001899,529110134824,DF000026,true,24,,,
P001900,893114410524,DF000026,true,48,,,
P001901,VD-21789-14,DF000026,true,36,,,
P001902,VD -18265-13,DF000005,true,36,,,
P001903,893110318123,DF000026,true,48,,,
P001904,VD-14485-11,DF000033,true,36,,,
P001905,VN-17399-13,DF000026,true,36,,,
P001906,VD-11736-10,DF000026,true,36,,,
P001907,893110601924,DF000033,true,36,,,
P001908,800110067023,DF000028,true,24,,,
P001909,800110020824,DF000044,true,24,,,
P001910,VD-11550-10,DF000051,true,36,,,
P001911,894114444223,DF000026,true,24,,,
P001912,893110175924,DF000026,true,30,,,
P001913,893110691724,DF000026,true,30,,,
P001914,VD-35596-22,DF000029,false,48,,,
P001915,VN2-314-15,DF000007,true,24,,,
P001916,893110050400,DF000033,true,36,,,
P001917,VD-14003-11,DF000033,true,36,,,
P001918,893110170925,DF000028,true,24,,,
P001919,VD-20396-13,DF000007,true,36,,,
P001920,890110452525,DF000033,true,24,,,
P001921,VN-14755-12,DF000026,true,36,,,
P001922,893110824324,DF000028,true,36,,,
P001923,900110443523,DF000026,true,36,,,
P001924,893110028800,DF000026,true,36,,,
P001925,383110528324,DF000039,true,36,,,
P001926,400115442723,DF000054,true,60,,,
P001927,893110535324,DF000033,true,36,,,
P001928,529115009524,DF000026,true,36,,,
P001929,893110295400,DF000028,true,18,,,
P001930,VN-19523-15,DF000026,true,24,,,
P001931,893110034000,DF000026,true,36,,,
P001932,893110284823,DF000026,true,24,,,
P001933,893110147825,DF000049,true,36,,,
P001934,VD-15554-11,DF000026,true,48,,,
P001935,VN-19600-16,DF000028,true,24,,,
P001936,893110203324,DF000026,true,24,,,
P001937,VD-18528-13,DF000035,true,36,,,
P001938,893110654424,DF000033,true,24,,,
P001939,893110641424,DF000033,true,24,,,
P001940,VN-16500-13,DF000007,false,60,,,
P001941,VD-14612-11,DF000033,true,36,,,
P001942,893100802024,DF000011,false,36,,,
P001943,893110153425,DF000007,true,36,,,
P001944,VN-14878-12,DF000033,true,24,,,
P001945,893110492724,DF000033,true,36,,,
P001946,893110254000,DF000011,true,24,,,
P001947,893110308823,DF000026,true,36,,,
P001948,893115079624,DF000023,true,36,,,
P001949,893110396324,DF000033,true,36,,,
P001950,893110154024,DF000033,true,36,,,
P001951,VD-14260-11,DF000033,true,36,,,
P001952,VN2-403-15,DF000026,true,24,,,
P001953,893110097024,DF000026,true,36,,,
P001954,893110298723,DF000039,true,24,,,
P001955,893110170125,DF000047,true,36,,,
P001956,893110465424,DF000007,true,36,,,
P001957,VN-19588-16,DF000033,true,24,,,
P001958,890110087023,DF000007,true,36,,,
P001959,893110558824,DF000033,true,36,,,
P001960,894115025625,DF000026,true,24,,,
P001961,893110925424,DF000007,true,24,,,
P001962,893110393424,DF000026,true,36,,,
P001963,VN-20824-17,DF000026,true,24,,,
P001964,893110601024,DF000026,true,24,,,
P001965,893110085424,DF000007,true,36,,,
P001966,893110259223,DF000026,true,36,,,
P001967,893110287423,DF000026,true,48,,,
P001968,893114145624,DF000026,true,36,,,
P001969,520110785524,DF000028,true,36,,,
P001970,VD-17199-12,DF000026,true,48,,,
P001971,VN-16463-13,DF000026,true,24,,,
P001972,VN-20514-17,DF000026,true,36,,,
P001973,893115286023,DF000007,true,36,,,
P001974,893110270323,DF000026,true,24,,,
P001975,893110388324,DF000039,true,24,,,
P001976,890110004500,DF000026,true,36,,,
P001977,893110836824,DF000033,true,48,,,
P001978,893110492624,DF000033,true,36,,,
P001979,893110059500,DF000007,true,48,,,
P001980,893110504224,DF000007,true,48,,,
P001981,893110914524,DF000007,true,48,,,
P001982,893110284923,DF000026,true,24,,,
P001983,893115914324,DF000007,true,60,,,
P001984,893110301623,DF000026,true,36,,,
P001985,VN-17966-14,DF000026,true,24,,,
P001986,890115014024,DF000026,true,24,,,
P001987,VN-21641-18,DF000006,true,36,,,
P001988,893110598424,DF000026,true,24,,,
P001989,893110170124,DF000026,true,24,,,
P001990,893110217224,DF000026,true,24,,,
P001991,VD-34723-20 ,DF000033,true,36,,,
P001992,VD-27729-17,DF000026,true,36,,,
P001993,893110224800,DF000028,true,24,,,
P001994,893110082600,DF000026,true,36,,,
P001995,893110239500,DF000033,true,,,,
P001996,893110275600,DF000033,true,36,,,
P001997,VD-17566-12,DF000027,true,48,,,
P001998,VD-17986-12,DF000033,true,36,,,
P001999,868110781624,DF000028,true,24,,,
P002000,893110202800,DF000028,true,36,,,
P002001,VN-13200-11,DF000011,true,36,,,
P002002,893110253500,DF000026,true,36,,,
P002003,VN-19905-16,DF000054,true,36,,,
P002004,893110307000,DF000026,true,36,,,
P002005,VD-16025-11,DF000033,true,48,,,
P002006,VN-19454-15,DF000026,true,36,,,
P002007,VD-11485-10,DF000007,true,24,,,
P002008,890110006300,DF000033,true,24,,,
P002009,VN-17162-13,DF000026,true,36,,,
P002010,300110041025,DF000038,true,36,,,
P002011,VD-23966-15,DF000007,true,60,,,
P002012,VD-23965-15,DF000007,true,60,,,
P002013,VD-12984-10,DF000026,true,24,,,
P002014,893110033700,DF000033,true,36,,,
P002015,VD-14829-11,DF000005,true,36,,,
P002016,893110680324,DF000007,true,60,,,
P002017,VD-17513-12,DF000026,true,36,,,
P002018,VN-14221-11,DF000026,true,24,,,
P002019,VN-14713-12,DF000007,true,24,,,
P002020,VN-13130-11,DF000060,true,24,,,
P002021,893110823324,DF000033,true,36,,,
P002022,VN-17506-13,DF000007,true,24,,,
P002023,VD-14419-11,DF000028,true,36,,,
P002024,893110190224,DF000026,true,36,,,
P002025,VD-16223-12,DF000026,true,36,,,
P002026,955110992624,DF000013,true,36,,,
P002027,VD-25100-16,DF000028,true,36,,,
P002028,383110031623,DF000026,true,24,,,
P002029,893100696924,DF000026,false,24,,,
P002030,VN-20958-18,DF000011,false,24,,,
P002031,VN-14933-12,DF000033,true,36,,,
P002032,VN-17966-14,DF000026,true,18,,,
P002033,VD-16379-12,DF000033,true,36,,,
P002034,VN-15238-12,DF000033,true,36,,,
P002035,893115165925,DF000023,true,24,,,
P002036,893110809624,DF000033,true,36,,,
P002037,893110269223,DF000033,true,,,,
P002038,893115108323,DF000026,true,36,,,
P002039,VN-15239-12,DF000033,true,36,,,
P002040,893110136624,DF000033,true,36,,,
